codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,72.0,72.0,1076.692286,0.7198
ABSP12,149.2,149.2,1054.282811,1.4919
ACOV15,153.9,153.9,1017.066737,1.539
ADPA21,235.1,235.1,1032.392498,2.3512
AEGE16,502.4,502.4,1041.357345,5.0239
AEGE17,526.1,526.1,960.074812,5.2613
AEGP17,162.7,162.7,352.953391,1.6272
AEGP19,261.3,261.3,1050.749387,2.6128
AEGPA4,276.9,276.9,1057.773691,2.7691
AEGPA9,307.8,307.8,1017.871344,3.0777
AEGPB3,326.1,326.1,1026.993788,3.2611
AEGPB5,321.4,321.4,983.668328,3.2141
AEGPB7,231.1,231.1,1080.72681,2.3107
AERI11,,,119.406182,
AERI12,,,152.619912,
AESLA8,44.1,44.1,1028.076779,0.4415
AGAU13,469.9,469.9,538.767953,4.6991
AGPI11,,,,
ALGAA2,106.3,106.3,1022.324241,1.0635
ALGTA5,100.8,100.8,1019.124409,1.0078
ALGTA6,110.7,110.7,1079.681355,1.1071
ALPA22,94.9,94.9,1040.784771,0.9488
AMBP16,,,164.504251,
ANHBA5,51.3,51.3,1039.011001,0.513
ANHBA6,55.6,55.6,1010.916803,0.5562
ANIM15,197.8,197.8,779.776277,1.9778
ANIM17,215.7,215.7,1029.103721,2.1571
ANIM18,244.1,244.1,1030.298272,2.4405
APFL18,165.1,165.1,1008.363482,1.6511
APPSB2,139.3,139.3,672.283112,1.3927
APRB28,61.5,61.5,318.128108,0.6145
ARML13,216.6,216.6,1049.176781,2.1662
ARML14,280.1,280.1,1037.961545,2.8012
ARML15,291.0,291.0,1005.905167,2.9104
ARML25,329.9,329.9,990.311605,3.2989
ARML26,311.9,311.9,996.329434,3.1191
ARTRA1,160.0,160.0,356.084652,1.6
ARTRA4,223.7,223.7,1084.758887,2.2374
ARTRA5,231.8,231.8,1057.630966,2.318
ASAI18,131.5,131.5,1031.407611,1.3146
ASAI19,171.6,171.6,1051.30291,1.7165
ASAI22,160.9,160.9,1042.665442,1.6088
ASAI28,174.6,174.6,1029.023272,1.7455
ASAIA0,178.8,178.8,1013.069234,1.7875
ASAIA1,185.2,185.2,1046.70144,1.8517
ASAIA2,184.7,184.7,1013.342147,1.8473
ASAIA3,184.7,184.7,1015.245607,1.8473
AURE13,77.2,77.2,1043.279868,0.7719
AZZA11,158.6,158.6,1049.486816,1.5863
AZZA12,171.0,171.0,987.922954,1.7102
AZZA13,200.8,200.8,995.093272,2.008
BCBF16,518.0,518.0,689.132739,5.1803
BCPSA4,25.7,25.7,1078.932066,0.2573
BCPSA6,36.2,36.2,1053.951918,0.3617
BKBR19,148.7,148.7,526.084669,1.4872
BRIT11,93.8,93.8,721.058504,0.9375
BRIT12,127.0,127.0,1023.751057,1.27
BRKMA6,,,462.797261,
BRKMA8,,,458.69439,
BRKMB6,,,477.319236,
BRKMB8,,,455.74733,
BRKPA0,212.2,212.2,412.671408,2.1218
BRKPA2,244.5,244.5,1100.873476,2.4447
BRKPA3,245.2,245.2,1094.023053,2.4519
BRKPA4,260.4,260.4,1031.71728,2.6036
BRKPA5,211.0,211.0,1060.176438,2.1096
BRMLA1,41.1,41.1,1078.762207,0.4115
BRMLB1,52.6,52.6,1092.221271,0.5262
BRST14,155.0,155.0,1034.854975,1.55
BSA312,40.7,40.7,10468.037201,0.4066
BSA318,33.4,33.4,1036.406974,0.3335
BSA319,48.9,48.9,1019.064093,0.4889
BSA3A0,34.4,34.4,1062.498161,0.3444
BTGH18,105.9,105.9,1037.727031,1.0586
CAEC13,132.6,132.6,1005.635157,1.3258
CAEC22,117.6,117.6,1047.023364,1.1756
CAEC32,130.8,130.8,1066.008811,1.3082
CAMLA1,181.0,181.0,1041.851012,1.8098
CAMLB1,167.7,167.7,1043.860529,1.6769
CASN13,280.7,280.7,749.760259,2.8074
CASN14,170.7,170.7,1011.089214,1.7066
CBAN22,80.0,80.0,877.030838,0.7998
CBOH11,142.7,142.7,1015.785029,1.4266
CBRDB8,,,399.823255,
CCROA7,36.2,36.2,1020.97244,0.3616
CDAR11,152.3,152.3,1064.346846,1.5226
CDES12,140.0,140.0,1006.334098,1.4
CDGS26,76.9,76.9,1026.154975,0.7686
CEAB13,120.4,120.4,1019.480387,1.2042
CEAB14,84.9,84.9,1061.307233,0.8492
CEAB22,69.4,69.4,531.320398,0.694
CEAP15,68.8,68.8,1049.223453,0.6884
CEAP16,64.0,64.0,1079.463717,0.6402
CEBD14,115.3,115.3,1080.487308,1.1532
CEBD25,101.8,101.8,1038.655804,1.018
CEEBA3,87.0,87.0,1052.149858,0.8701
CEEBA6,145.1,145.1,1009.35708,1.4511
CEEBA7,74.0,74.0,1047.273713,0.7401
CEEBA8,62.1,62.1,1035.757532,0.6211
CEEBB3,104.4,104.4,1058.574663,1.0442
CEEBB8,68.8,68.8,1041.778441,0.6883
CEED16,63.0,63.0,1015.339313,0.6298
CEED18,60.2,60.2,1063.663569,0.6015
CEEDA0,75.1,75.1,1045.225526,0.7512
CEEDA1,81.6,81.6,1040.704304,0.8156
CEMTE2,64.6,64.6,1034.597317,0.6462
CEPEA1,89.8,89.8,1052.363353,0.8979
CEPEA3,71.3,71.3,1047.814535,0.7129
CEPEA4,90.1,90.1,1068.788244,0.9012
CEPEB1,98.6,98.6,1060.378859,0.9858
CEPEB2,101.6,101.6,1065.067573,1.0163
CERO19,52.6,52.6,1057.004037,0.5262
CEROA2,56.3,56.3,1036.733782,0.5628
CEROB2,66.4,66.4,1042.024825,0.6644
CESE22,74.3,74.3,815.255078,0.7426
CESPA4,73.9,73.9,996.394382,0.739
CGASA3,46.4,46.4,1036.407911,0.4635
CGASA5,67.1,67.1,1059.473557,0.6706
CGBP14,79.7,79.7,992.371145,0.7965
CGOS15,66.1,66.1,1069.328133,0.6606
CGOS17,63.5,63.5,1013.959246,0.6354
CGOS18,63.6,63.6,1072.315371,0.6361
CGOS19,68.5,68.5,1043.294801,0.6848
CGOSA1,72.5,72.5,1046.163187,0.7255
CHSF12,47.9,47.9,1058.082621,0.4791
CHSF14,56.7,56.7,1072.967696,0.5668
CHSF24,62.7,62.7,1082.640096,0.6266
CHTH11,42.2,42.2,1025.394295,0.4223
CIEL17,29.4,29.4,1027.358961,0.2939
CIEL18,39.3,39.3,1043.158966,0.3933
CIEL19,34.3,34.3,1047.159963,0.3429
CLCD16,78.7,78.7,1049.647743,0.7869
CLCD17,91.2,91.2,1014.736005,0.912
CLCD18,82.5,82.5,1002.25465,0.8246
CLCD19,40.0,40.0,1103.256741,0.4001
CLII12,186.3,186.3,1024.866924,1.8632
CLIS11,180.8,180.8,1105.207613,1.8083
CLMOA4,70.1,70.1,1042.668484,0.7009
CMED13,125.0,125.0,1033.165427,1.2497
CMGD18,80.7,80.7,1031.208491,0.8066
CMGDA0,46.5,46.5,1006.492272,0.4645
CMGDA1,61.5,61.5,1058.855256,0.615
CMGDA2,65.2,65.2,1070.192763,0.6516
CMGDA3,56.7,56.7,1050.792515,0.5669
CMGDB3,65.0,65.0,1055.083934,0.6497
CMGTA0,54.2,54.2,1063.99282,0.5421
CMGTA2,63.9,63.9,1028.866352,0.6393
CMPH14,,,488.846168,
CMTR19,63.1,63.1,688.238316,0.6306
CNLM17,74.9,74.9,1058.259381,0.749
COCEA2,104.9,104.9,1039.543327,1.0494
COGNA4,119.3,119.3,1047.857191,1.1926
COGNA5,98.2,98.2,1005.387104,0.982
COGNB2,112.6,112.6,1048.901842,1.1256
COLNA3,79.5,79.5,1008.48656,0.7945
CPFGA3,55.8,55.8,1028.307554,0.558
CPFPA6,35.4,35.4,485.057194,0.3536
CPFPA8,43.8,43.8,1028.148404,0.4382
CPFPB8,53.3,53.3,1029.145337,0.5333
CPGT17,61.8,61.8,526.387451,0.6184
CPGT18,58.3,58.3,1033.802858,0.5832
CPGT19,41.8,41.8,1052.146481,0.4181
CPGT29,65.7,65.7,1052.008721,0.6571
CPGT39,78.2,78.2,1059.478192,0.7822
CPGTA0,43.9,43.9,1003.215855,0.4391
CPGTB0,65.5,65.5,1005.47654,0.6553
CPLD19,58.9,58.9,1037.360752,0.5887
CPLD27,89.1,89.1,521.216227,0.891
CPLD38,146.8,146.8,1034.39273,1.4675
CPLDA0,47.5,47.5,1011.925098,0.4748
CPLDB0,61.5,61.5,1011.779899,0.6151
CPREA0,44.3,44.3,1040.862519,0.4426
CPTE12,91.8,91.8,647.345286,0.9184
CSAN15,213.0,213.0,1057.151756,2.1296
CSAN18,146.6,146.6,1021.99025,1.4656
CSAN23,166.0,166.0,1010.858813,1.6597
CSAN24,187.2,187.2,1046.551666,1.8718
CSANA0,152.3,152.3,1009.912864,1.5234
CSANA2,168.0,168.0,1188.096454,1.6804
CSANB0,180.2,180.2,1008.184472,1.8023
CSANB1,153.7,153.7,993.984064,1.5371
CSANB2,143.8,143.8,1198.984261,1.4384
CSANC1,187.1,187.1,989.451875,1.8711
CSANC2,183.7,183.7,1192.807581,1.8374
CSED12,85.5,85.5,1015.54689,0.8549
CSMGA7,73.5,73.5,851.925389,0.7354
CSMGA8,87.5,87.5,1032.233337,0.875
CSMGA9,70.7,70.7,1019.521504,0.7066
CSMGB0,69.6,69.6,997.117588,0.6959
CSMGB6,71.5,71.5,79.021174,0.7147
CSMGD1,72.5,72.5,1005.403657,0.7246
CSMGD2,69.8,69.8,1023.739241,0.6975
CSNAA1,1819.4,1819.4,834.839179,18.1938
CSNAA2,1547.6,1547.6,936.523904,15.4762
CSRNA2,75.0,75.0,1069.544697,0.7502
CTEE19,39.8,39.8,1070.49956,0.3981
CTNSA2,80.3,80.3,1076.878371,0.803
CVCB14,942.6,942.6,0.579104,9.426
DASAB2,273.8,273.8,1059.136232,2.7378
DASAB4,163.8,163.8,1057.935967,1.6384
DASAB5,246.4,246.4,1031.821383,2.464
DASAC2,280.2,280.2,1057.49684,2.802
DASAC5,295.3,295.3,1015.373629,2.9532
DXCO13,74.5,74.5,1041.011257,0.7449
EBENA6,58.4,58.4,1070.60039,0.5844
EBENA7,88.7,88.7,1020.273276,0.8872
EBENB1,49.7,49.7,1027.336489,0.4972
EBENC1,63.1,63.1,1027.49449,0.6311
ECOV17,71.5,71.5,1090.69447,0.7145
EDPR13,64.9,64.9,1024.081756,0.6494
EDPR23,76.0,76.0,1020.775177,0.76
EDVP18,28.2,28.2,1082.129403,0.2818
EEELA3,43.6,43.6,1028.198324,0.4359
EEELA5,49.8,49.8,999.127719,0.498
EGIED1,47.1,47.1,1046.44224,0.4712
EGIEE1,79.8,79.8,1047.329054,0.7978
EKTRA0,73.9,73.9,1052.106938,0.7393
EKTRA1,102.1,102.1,1016.084645,1.0209
EKTRA3,63.5,63.5,1061.153078,0.6355
EKTRA4,65.4,65.4,1008.993828,0.654
EKTRB0,91.6,91.6,1059.57762,0.9163
ELET15,52.7,52.7,1056.981157,0.5272
ELET17,68.8,68.8,1045.712228,0.6883
ELET24,95.5,95.5,1074.062145,0.9555
ELET25,57.6,57.6,1064.98826,0.5765
ELFA12,,,337.043873,
ELPLA6,263.3,263.3,1042.612498,2.6331
ELPLB8,250.0,250.0,1016.782756,2.5
ELTN16,58.7,58.7,1072.215153,0.5869
ELTN19,62.6,62.6,1038.199871,0.6256
ELTN26,61.5,61.5,1083.195436,0.6146
ENERB5,66.4,66.4,1029.602992,0.6639
ENERC3,53.2,53.2,1073.999332,0.5321
ENEV38,91.8,91.8,1030.412978,0.918
ENEV48,79.5,79.5,1057.580984,0.7953
ENEVA3,68.3,68.3,1031.989753,0.6829
ENEVC0,57.9,57.9,1059.740683,0.5788
ENEVD0,66.8,66.8,1066.140611,0.6683
ENGIA7,45.8,45.8,1056.749071,0.4579
ENGIB1,54.3,54.3,1073.712839,0.5433
ENGIB5,46.6,46.6,1054.377836,0.4659
ENGIB7,66.1,66.1,1073.025905,0.6609
ENGIB8,66.2,66.2,1048.947442,0.6624
ENGIC3,60.7,60.7,1075.773898,0.6072
ENGIC4,67.6,67.6,1064.896238,0.6763
ENGIC5,62.3,62.3,1075.502633,0.6225
ENGIC6,45.4,45.4,1058.633648,0.454
ENGIC9,59.6,59.6,1080.927354,0.5959
ENGID3,68.4,68.4,1081.473186,0.684
ENMTA8,53.0,53.0,1054.294582,0.5297
ENMTB0,64.2,64.2,1071.195921,0.6419
ENMTB2,63.2,63.2,1030.485135,0.6316
ENMTC2,67.9,67.9,1035.848766,0.6794
ENMTC3,58.9,58.9,1062.37356,0.589
EQMAA1,59.9,59.9,1046.025201,0.5991
EQPA17,62.8,62.8,1012.902136,0.6279
EQPAA0,73.0,73.0,1058.667459,0.7296
EQTL17,59.5,59.5,1064.579475,0.5951
ERDVA3,170.8,170.8,1055.288181,1.7075
ERDVA6,84.0,84.0,1024.674078,0.8399
ERDVB3,127.6,127.6,1082.241199,1.2764
ESCEA3,58.0,58.0,1076.337013,0.5804
ESCEA4,44.1,44.1,1067.550524,0.4414
ESCEA6,54.2,54.2,1025.329245,0.5424
ESCEB4,49.1,49.1,1068.655028,0.4907
ESCEB6,65.2,65.2,1023.892779,0.6517
ESSDA2,66.3,66.3,1070.65853,0.663
EUFA17,120.5,120.5,1065.82363,1.2055
EUFA18,94.1,94.1,1064.477499,0.9407
EUFA19,134.1,134.1,1012.920169,1.3414
FENS12,49.8,49.8,1055.654283,0.4976
FISI15,123.4,123.4,1004.731725,1.2341
FLCLA4,42.2,42.2,1081.433902,0.4217
FLCLA8,86.5,86.5,1024.131004,0.8652
FLRY17,53.8,53.8,1054.222713,0.5382
FLRY18,66.4,66.4,1056.500362,0.6642
FLRY19,38.9,38.9,1039.493382,0.3887
FLRY25,72.7,72.7,686.508051,0.727
FLRY27,92.5,92.5,1063.776948,0.9247
FLRY29,61.0,61.0,1038.59021,0.6101
FLRY36,67.0,67.0,1035.657423,0.6703
FLRYA0,45.9,45.9,1045.656409,0.4592
FLRYB0,58.5,58.5,1044.964182,0.5854
FRAS16,100.4,100.4,1036.920534,1.0038
GGBRA7,39.8,39.8,1036.046772,0.3978
GGBRA8,40.7,40.7,1028.931473,0.4073
GGBRA9,51.3,51.3,1034.649072,0.5129
GRRB16,211.5,211.5,973.917423,2.1155
GSHC15,125.6,125.6,1056.632949,1.2563
GSHC17,245.4,245.4,1070.660433,2.4538
GUAR17,96.3,96.3,1049.802411,0.9626
HAPV15,952.4,952.4,839.193157,9.5238
HAPV17,965.2,965.2,846.236567,9.6516
HAPV18,904.0,904.0,809.953454,9.0395
HAPV19,886.0,886.0,786.461478,8.8601
HAPV28,874.9,874.9,799.041444,8.7491
HAPVA0,859.7,859.7,788.74802,8.5974
HBSA14,55.0,55.0,1025.652275,0.55
HBSA22,145.0,145.0,1028.799909,1.45
HBSA24,61.0,61.0,1031.967474,0.6102
HGLB13,278.7,278.7,1064.357666,2.7868
HYPEA6,66.6,66.6,1063.503628,0.6665
HYPEA7,63.8,63.8,1037.662133,0.6381
HYPEA8,51.7,51.7,1049.459012,0.5168
HYPEA9,53.1,53.1,1022.471236,0.5307
HYPEB1,64.2,64.2,1032.904254,0.6418
HYPEC0,58.1,58.1,1005.299998,0.5812
IGTAA3,45.7,45.7,1058.035116,0.4573
IGTAB0,27.1,27.1,1075.502959,0.2705
INEL12,126.9,126.9,1045.657151,1.2694
IOCHA3,129.8,129.8,1063.983231,1.2985
IOCHA4,115.3,115.3,1056.22075,1.1526
IOCHA5,131.2,131.2,1011.00435,1.3124
IOCHA6,131.6,131.6,1034.301409,1.3158
IPIPA6,52.6,52.6,1038.09359,0.5256
ISAEB1,53.6,53.6,1013.525729,0.5362
