codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,69.7,69.7,1074.881698,0.6967
ABSP12,149.4,149.4,1051.855963,1.494
ACOV15,154.0,154.0,1014.682082,1.5399
ADPA21,234.0,234.0,1030.018436,2.3401
AEGE16,493.4,493.4,1041.197955,4.9337
AEGE17,510.5,510.5,962.733142,5.1046
AEGP17,165.4,165.4,352.077875,1.6539
AEGP19,258.7,258.7,1048.411746,2.5869
AEGPA4,276.2,276.2,1055.214457,2.7618
AEGPA9,308.1,308.1,1015.206719,3.0814
AEGPB3,320.0,320.0,1026.246983,3.2002
AEGPB5,323.1,323.1,980.553318,3.2313
AEGPB7,223.1,223.1,1079.251334,2.2305
AERI11,,,122.465354,
AERI12,,,157.716234,
AESLA8,43.7,43.7,1025.991059,0.4366
AGAU13,469.5,469.5,537.276668,4.6946
AGPI11,,,,
ALGAA2,105.4,105.4,1020.210184,1.0539
ALGTA5,101.0,101.0,1016.820368,1.0095
ALGTA6,110.6,110.6,1077.311342,1.1064
ALPA22,83.5,83.5,1041.217463,0.835
AMBP16,,,,
ANHBA5,51.5,51.5,1036.723125,0.5149
ANHBA6,55.5,55.5,1008.778909,0.5551
ANIM15,202.3,202.3,777.40396,2.0235
ANIM17,220.0,220.0,1025.804548,2.2004
ANIM18,241.8,241.8,1028.282506,2.4177
APFL18,165.0,165.0,1006.041351,1.65
APPSB2,139.0,139.0,670.76612,1.39
APRB28,62.1,62.1,317.427975,0.6208
ARML13,216.2,216.2,1046.742307,2.1624
ARML14,280.4,280.4,1035.224172,2.8039
ARML15,275.9,275.9,1008.339049,2.7591
ARML25,317.7,317.7,992.362897,3.1766
ARML26,325.3,325.3,989.737389,3.2531
ARTRA1,159.9,159.9,355.262498,1.5988
ARTRA4,220.6,220.6,1082.43115,2.2061
ARTRA5,230.4,230.4,1055.259992,2.3045
ASAI18,133.9,133.9,1028.751356,1.3395
ASAI19,173.0,173.0,1048.610103,1.7295
ASAI22,161.1,161.1,1040.22036,1.6114
ASAI28,174.5,174.5,1026.623335,1.7453
ASAIA0,179.2,179.2,1010.594104,1.7923
ASAIA1,184.7,184.7,1044.329052,1.8471
ASAIA2,185.5,185.5,1010.739608,1.855
ASAIA3,185.9,185.9,1012.570491,1.8593
AURE13,77.6,77.6,1040.841319,0.7765
AZZA11,132.2,132.2,1053.722605,1.3222
AZZA12,164.3,164.3,1062.50714,1.6426
AZZA13,198.2,198.2,993.061598,1.9825
BCBF16,454.7,454.7,689.618323,4.5471
BCPSA4,26.3,26.3,1076.633078,0.2628
BCPSA6,36.9,36.9,1051.584477,0.3686
BKBR19,149.1,149.1,524.862509,1.4912
BRIT11,94.0,94.0,719.454706,0.9402
BRIT12,127.3,127.3,1021.373294,1.2728
BRKMA6,,,456.731289,
BRKMA8,,,453.909458,
BRKMB6,,,455.386463,
BRKMB8,,,450.114211,
BRKPA0,209.1,209.1,411.7603,2.091
BRKPA2,245.2,245.2,1098.030867,2.4521
BRKPA3,250.0,250.0,1090.169696,2.5002
BRKPA4,261.6,261.6,1028.746241,2.6164
BRKPA5,212.4,212.4,1057.42903,2.1242
BRMLA1,41.2,41.2,1076.472671,0.4117
BRMLB1,52.5,52.5,1090.020236,0.5247
BRST14,155.0,155.0,1032.461142,1.55
BSA312,40.7,40.7,10445.667587,0.4071
BSA318,33.4,33.4,1034.200821,0.3344
BSA319,46.2,46.2,1017.714703,0.4621
BSA3A0,36.8,36.8,1059.572467,0.3677
BTGH18,107.7,107.7,1035.057842,1.0766
CAEC13,133.6,133.6,1002.978624,1.3359
CAEC22,116.4,116.4,1044.89599,1.1637
CAEC32,129.0,129.0,1064.22551,1.2901
CAMLA1,163.8,163.8,1042.027079,1.6379
CAMLB1,162.8,162.8,1042.186162,1.6275
CASN13,268.1,268.1,788.137838,2.6806
CASN14,170.6,170.6,1022.911054,1.7064
CBAN22,80.0,80.0,875.159401,0.8003
CBOH11,142.5,142.5,1013.481532,1.4254
CBRDB8,,,394.562423,
CCROA7,35.9,35.9,1018.845509,0.3595
CDAR11,154.0,154.0,1061.79386,1.5397
CDES12,140.0,140.0,1004.03569,1.4
CDGS26,77.0,77.0,1023.868985,0.7703
CEAB13,120.8,120.8,1017.150583,1.2079
CEAB14,83.3,83.3,1059.277605,0.8329
CEAB22,66.8,66.8,530.320984,0.6679
CEAP15,65.1,65.1,1047.689201,0.651
CEAP16,59.1,59.1,1078.235056,0.5908
CEBD14,114.9,114.9,1078.121225,1.149
CEBD25,103.7,103.7,1035.957196,1.0373
CEEBA3,86.9,86.9,1049.836842,0.8686
CEEBA6,145.3,145.3,1085.712742,1.4529
CEEBA7,74.5,74.5,1044.891582,0.7452
CEEBA8,62.5,62.5,1033.425263,0.6252
CEEBB3,103.7,103.7,1056.325173,1.0371
CEEBB8,68.5,68.5,1039.635366,0.6854
CEED16,61.1,61.1,1013.629059,0.6106
CEED18,60.4,60.4,1061.312861,0.6036
CEEDA0,74.7,74.7,1043.078539,0.7473
CEEDA1,75.8,75.8,1040.704016,0.7579
CEMTE2,69.5,69.5,1031.570924,0.6948
CEPEA1,89.6,89.6,1050.045637,0.8962
CEPEA3,73.4,73.4,1045.117634,0.7339
CEPEA4,83.4,83.4,1067.932657,0.834
CEPEB1,98.7,98.7,1058.01541,0.9866
CEPEB2,100.6,100.6,1062.903156,1.0059
CERO19,52.5,52.5,1054.766503,0.525
CEROA2,53.2,53.2,1035.351828,0.5324
CEROB2,58.7,58.7,1042.614319,0.587
CESE22,74.6,74.6,813.456794,0.7456
CESPA4,74.7,74.7,1065.129812,0.7468
CGASA3,46.6,46.6,1034.148303,0.4663
CGASA5,67.4,67.4,1057.097949,0.6741
CGBP14,80.0,80.0,990.107445,0.8002
CGOS15,63.8,63.8,1067.522922,0.6377
CGOS17,60.5,60.5,1012.524967,0.6051
CGOS18,62.6,62.6,1070.272499,0.6256
CGOS19,65.2,65.2,1042.298701,0.6524
CGOSA1,70.1,70.1,1044.7624,0.7014
CHSF12,48.3,48.3,1055.731423,0.4831
CHSF14,58.9,58.9,1069.842785,0.5891
CHSF24,63.8,63.8,1079.853359,0.6378
CHTH11,42.4,42.4,1023.168954,0.424
CIEL17,29.5,29.5,1025.181204,0.2947
CIEL18,38.2,38.2,1041.201322,0.3823
CIEL19,34.8,34.8,1044.848737,0.3477
CLCD16,78.8,78.8,1047.334761,0.7885
CLCD17,88.2,88.2,1013.465568,0.8818
CLCD18,81.8,81.8,1000.259313,0.8179
CLCD19,40.4,40.4,1100.890169,0.4035
CLII12,187.2,187.2,1022.301174,1.8718
CLIS11,181.1,181.1,1102.58031,1.8112
CLMOA4,70.6,70.6,1040.214536,0.7064
CMED13,125.3,125.3,1030.767113,1.2528
CMGD18,80.9,80.9,1028.928992,0.8091
CMGDA0,46.4,46.4,1077.060811,0.4642
CMGDA1,61.9,61.9,1056.435003,0.6187
CMGDA2,66.3,66.3,1067.469619,0.6629
CMGDA3,56.8,56.8,1048.492293,0.5684
CMGDB3,65.2,65.2,1052.709671,0.6524
CMGTA0,54.3,54.3,1061.695193,0.5426
CMGTA2,63.5,63.5,1026.778616,0.6352
CMPH14,,,495.74241,
CMTR19,63.6,63.6,686.718655,0.6364
CNLM17,74.9,74.9,1055.990952,0.7487
COCEA2,105.1,105.1,1037.187352,1.0511
COGNA4,119.2,119.2,1045.530045,1.1915
COGNA5,99.2,99.2,1002.967152,0.9915
COGNB2,113.5,113.5,1046.371035,1.135
COLNA3,79.9,79.9,1006.125817,0.7994
CPFGA3,56.0,56.0,1026.035698,0.5598
CPFPA6,35.6,35.6,484.017705,0.3564
CPFPA8,43.2,43.2,1026.080597,0.4325
CPFPB8,53.8,53.8,1026.795512,0.5375
CPGT17,66.1,66.1,525.210812,0.6611
CPGT18,58.5,58.5,1031.539331,0.5852
CPGT19,42.2,42.2,1049.830972,0.4221
CPGT29,66.4,66.4,1049.482168,0.6642
CPGT39,80.1,80.1,1056.342633,0.8006
CPGTA0,43.8,43.8,1072.71566,0.4377
CPGTB0,62.4,62.4,1077.107838,0.6244
CPLD19,57.3,57.3,1035.592777,0.5729
CPLD27,85.7,85.7,520.192889,0.8568
CPLD38,147.1,147.1,1032.017297,1.4707
CPLDA0,47.9,47.9,1009.656174,0.479
CPLDB0,61.7,61.7,1009.506273,0.6172
CPREA0,45.1,45.1,1038.46937,0.4512
CPTE12,93.3,93.3,645.71438,0.9329
CSAN15,211.4,211.4,1054.851566,2.1142
CSAN18,146.1,146.1,1019.794199,1.4612
CSAN23,164.5,164.5,1087.924592,1.6452
CSAN24,187.1,187.1,1044.123837,1.8707
CSANA0,153.0,153.0,1007.445216,1.5302
CSANA2,166.7,166.7,1185.71512,1.6669
CSANB0,177.3,177.3,1007.022419,1.7731
CSANB1,150.6,150.6,992.502901,1.506
CSANB2,143.3,143.3,1196.367644,1.4332
CSANC1,190.1,190.1,985.56564,1.9014
CSANC2,178.4,178.4,1192.009265,1.7837
CSED12,85.5,85.5,1013.326623,0.8546
CSMGA7,73.8,73.8,850.046362,0.7375
CSMGA8,83.5,83.5,1030.66517,0.8349
CSMGA9,69.1,69.1,1017.825075,0.6906
CSMGB0,65.3,65.3,1032.898822,0.6526
CSMGB6,70.8,70.8,78.849646,0.7082
CSMGD1,72.3,72.3,1003.252103,0.7229
CSMGD2,68.3,68.3,1022.071667,0.6833
CSNAA1,1960.3,1960.3,816.64259,19.6031
CSNAA2,1618.8,1618.8,928.075354,16.1884
CSRNA2,74.7,74.7,1067.329014,0.7468
CTEE19,39.2,39.2,1068.304715,0.3918
CTNSA2,65.1,65.1,1078.881923,0.6509
CVCB14,661.3,661.3,0.590077,6.6127
DASAB2,273.7,273.7,1056.540874,2.7368
DASAB4,160.0,160.0,1055.730125,1.6003
DASAB5,245.3,245.3,1029.496303,2.453
DASAC2,284.9,284.9,1053.661617,2.8491
DASAC5,297.8,297.8,1011.886241,2.9777
DXCO13,75.2,75.2,1038.475061,0.7521
EBENA6,59.4,59.4,1068.198894,0.5938
EBENA7,88.9,88.9,1018.007223,0.8886
EBENB1,50.5,50.5,1024.887233,0.5055
EBENC1,66.4,66.4,1023.923786,0.6643
ECOV17,71.3,71.3,1088.414588,0.7128
EDPR13,65.2,65.2,1021.809119,0.6516
EDPR23,76.1,76.1,1018.478886,0.7612
EDVP18,28.2,28.2,1079.847626,0.2819
EEELA3,44.1,44.1,1025.884068,0.4415
EEELA5,48.5,48.5,1033.37219,0.4852
EGIED1,47.4,47.4,1044.167084,0.4737
EGIEE1,70.1,70.1,1047.963925,0.7007
EKTRA0,73.8,73.8,1049.815277,0.738
EKTRA1,100.8,100.8,1013.933677,1.0085
EKTRA3,63.6,63.6,1058.871003,0.6356
EKTRA4,65.4,65.4,1006.806568,0.6544
EKTRB0,91.8,91.8,1057.209116,0.9183
ELET15,52.9,52.9,1054.672158,0.5291
ELET17,68.9,68.9,1043.428169,0.6893
ELET24,95.2,95.2,1071.735003,0.9521
ELET25,57.2,57.2,1062.864311,0.5725
ELFA12,,,331.859979,
ELPLA6,260.3,260.3,1040.464539,2.6027
ELPLB8,250.0,250.0,1014.282373,2.5
ELTN16,58.6,58.6,1069.944283,0.5864
ELTN19,62.9,62.9,1035.791305,0.6295
ELTN26,60.9,60.9,1081.202515,0.6088
ENERB5,67.6,67.6,1027.050254,0.6757
