codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,72.0,72.0,1077.300291,0.7196
ABSP12,148.9,148.9,1054.894743,1.4886
ACOV15,152.0,152.0,1018.123373,1.5198
ADPA21,233.8,233.8,1033.177819,2.3383
AEGE16,495.2,495.2,1044.326198,4.9519
AEGE17,528.0,528.0,959.94156,5.2797
AEGP17,160.0,160.0,353.214423,1.6001
AEGP19,266.3,266.3,1050.898559,2.6631
AEGPA4,276.6,276.6,1058.468315,2.7662
AEGPA9,314.4,314.4,1017.22882,3.1441
AEGPB3,324.3,324.3,1028.150243,3.2433
AEGPB5,321.5,321.5,984.208469,3.215
AEGPB7,231.1,231.1,1081.377339,2.3113
AERI11,,,119.445708,
AERI12,,,156.327411,
AESLA8,44.2,44.2,1028.620212,0.4418
AGAU13,469.6,469.6,539.153259,4.6958
AGPI11,,,,
ALGAA2,106.5,106.5,1022.876614,1.0648
ALGTA5,100.2,100.2,1019.931781,1.0017
ALGTA6,109.6,109.6,1080.75471,1.096
ALPA22,104.1,104.1,1039.181427,1.0411
AMBP16,,,163.427643,
ANHBA5,51.5,51.5,1039.509782,0.5149
ANHBA6,55.5,55.5,1011.484156,0.5555
ANIM15,197.3,197.3,780.297013,1.9727
ANIM17,206.4,206.4,1031.468199,2.0644
ANIM18,241.2,241.2,1031.556722,2.412
APFL18,165.0,165.0,1008.969313,1.65
APPSB2,139.2,139.2,672.675827,1.3915
APRB28,62.1,62.1,318.287236,0.6211
ARML13,216.4,216.4,1049.854263,2.1642
ARML14,287.7,287.7,1036.155806,2.8774
ARML15,289.8,289.8,1006.838586,2.8985
ARML25,333.1,333.1,989.512045,3.3308
ARML26,310.8,310.8,997.227343,3.1079
ARTRA1,160.0,160.0,356.291047,1.6
ARTRA4,223.7,223.7,1085.420332,2.2369
ARTRA5,233.5,233.5,1058.031205,2.335
ASAI18,131.5,131.5,1031.988656,1.3151
ASAI19,172.5,172.5,1051.752115,1.7254
ASAI22,160.6,160.6,1043.306534,1.6057
ASAI28,174.8,174.8,1029.585493,1.7476
ASAIA0,179.5,179.5,1013.50394,1.7953
ASAIA1,184.9,184.9,1047.373598,1.8487
ASAIA2,185.0,185.0,1013.854844,1.8499
ASAIA3,185.0,185.0,1015.766181,1.8502
AURE13,76.4,76.4,1044.090594,0.764
AZZA11,148.2,148.2,1052.689437,1.4824
AZZA12,172.3,172.3,988.129013,1.7233
AZZA13,199.8,199.8,995.815083,1.9979
BCBF16,508.9,508.9,689.966198,5.0894
BCPSA4,25.8,25.8,1079.496469,0.2581
BCPSA6,36.1,36.1,1054.532456,0.3607
BKBR19,148.4,148.4,526.396132,1.4845
BRIT11,93.9,93.9,721.453055,0.939
BRIT12,127.5,127.5,1024.212164,1.2753
BRKMA6,,,464.635056,
BRKMA8,,,458.962049,
BRKMB6,,,471.392034,
BRKMB8,,,454.712942,
BRKPA0,209.5,209.5,412.984225,2.0952
BRKPA2,243.9,243.9,1101.676677,2.4391
BRKPA3,243.4,243.4,1095.133887,2.4343
BRKPA4,260.2,260.2,1032.373398,2.602
BRKPA5,211.1,211.1,1060.797217,2.1106
BRMLA1,40.6,40.6,1079.548791,0.4057
BRMLB1,51.2,51.2,1093.534133,0.5116
BRST14,155.0,155.0,1035.447332,1.55
BSA312,40.6,40.6,10473.765517,0.4062
BSA318,33.2,33.2,1036.980552,0.3321
BSA319,50.1,50.1,1019.233182,0.5013
BSA3A0,34.1,34.1,1063.163877,0.341
BTGH18,107.1,107.1,1038.058567,1.0714
CAEC13,132.3,132.3,1006.306721,1.3232
CAEC22,118.2,118.2,1047.511836,1.1816
CAEC32,131.3,131.3,1066.515799,1.3129
CAMLA1,174.5,174.5,1043.445354,1.7446
CAMLB1,175.6,175.6,1043.280864,1.7555
CASN13,281.4,281.4,750.190161,2.8137
CASN14,169.4,169.4,1011.903549,1.6945
CBAN22,80.1,80.1,877.541512,0.8006
CBOH11,142.0,142.0,1016.46074,1.4204
CBRDB8,,,399.823255,
CCROA7,35.9,35.9,1021.55342,0.3595
CDAR11,151.7,151.7,1064.990824,1.5174
CDES12,140.0,140.0,1006.909511,1.4
CDGS26,76.8,76.8,1026.743423,0.7682
CEAB13,117.3,117.3,1020.323971,1.1732
CEAB14,85.0,85.0,1061.876017,0.85
CEAB22,70.0,70.0,531.575555,0.7002
CEAP15,68.7,68.7,1049.819403,0.6874
CEAP16,65.0,65.0,1079.838686,0.6501
CEBD14,114.8,114.8,1081.162864,1.1484
CEBD25,100.0,100.0,1039.600281,1.0004
CEEBA3,86.8,86.8,1052.732972,0.868
CEEBA6,144.9,144.9,1009.976781,1.449
CEEBA7,74.7,74.7,1047.71088,0.7471
CEEBA8,62.5,62.5,1036.243242,0.6245
CEEBB3,104.3,104.3,1059.185343,1.043
CEEBB8,68.9,68.9,1042.338794,0.6891
CEED16,63.1,63.1,1015.85943,0.6314
CEED18,60.1,60.1,1064.271307,0.6006
CEEDA0,73.7,73.7,1046.308258,0.737
CEEDA1,80.6,80.6,1041.649206,0.806
CEMTE2,64.0,64.0,1035.264495,0.6398
CEPEA1,89.6,89.6,1052.94709,0.8962
CEPEA3,70.7,70.7,1048.513336,0.7067
CEPEA4,90.2,90.2,1069.365007,0.902
CEPEB1,98.7,98.7,1060.949534,0.9872
CEPEB2,102.1,102.1,1065.570287,1.0214
CERO19,53.3,53.3,1057.419541,0.5331
CEROA2,57.4,57.4,1037.000964,0.5738
CEROB2,67.6,67.6,1042.183233,0.6764
CESE22,74.0,74.0,815.721923,0.7402
CESPA4,74.1,74.1,996.869604,0.7405
CGASA3,46.1,46.1,1036.998698,0.4612
CGASA5,66.9,66.9,1060.076704,0.6694
CGBP14,82.8,82.8,992.054989,0.8279
CGOS15,65.4,65.4,1070.062749,0.6539
CGOS17,63.9,63.9,1014.423304,0.6392
CGOS18,64.3,64.3,1072.727177,0.6431
