codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,72.0,72.0,1084.413875,0.7203
ABSP12,150.1,150.1,1062.186319,1.5008
ACOV15,152.4,152.4,1025.030705,1.5241
ADPA21,240.4,240.4,1039.979693,2.4041
AEGE16,492.5,492.5,1053.873739,4.9246
AEGE17,522.2,522.2,969.730225,5.2222
AEGP17,151.5,151.5,355.842539,1.5149
AEGP19,264.8,264.8,1058.887738,2.6482
AEGPA4,278.7,278.7,1066.225888,2.7873
AEGPA9,271.1,271.1,1033.363709,2.7111
AEGPB3,316.6,316.6,958.662147,3.1663
AEGPB5,322.1,322.1,991.407619,3.221
AEGPB7,216.8,216.8,1091.267412,2.1677
AERI11,,,120.321125,
AERI12,,,158.524542,
AESLA8,42.4,42.4,1035.605782,0.4245
AGAU13,,,,
AGPI11,,,,
ALGAA2,111.9,111.9,1028.872009,1.1187
ALGTA5,104.1,104.1,1025.414691,1.0407
ALGTA6,111.9,111.9,1010.481594,1.1187
ALPA22,104.3,104.3,1046.150799,1.0428
AMBP16,,,185.030316,
ANHBA5,49.4,49.4,1046.828153,0.4942
ANHBA6,55.9,55.9,1017.885722,0.5591
ANIM15,200.5,200.5,785.518302,2.0053
ANIM17,211.7,211.7,1037.896746,2.1168
ANIM18,215.5,215.5,1044.856713,2.1554
APFL18,166.2,166.2,1015.774628,1.6622
APPSB2,136.3,136.3,677.474016,1.3634
APRB28,63.7,63.7,320.331997,0.6367
ARML13,352.7,352.7,1028.025954,3.5266
ARML14,404.3,404.3,1008.14866,4.0427
ARML15,404.2,404.2,977.017485,4.0418
ARML25,435.9,435.9,957.100292,4.3591
ARML26,415.2,415.2,974.49934,4.1515
ARTRA1,164.0,164.0,358.712005,1.6397
ARTRA4,239.0,239.0,673.119708,2.3899
ARTRA5,244.4,244.4,1064.27208,2.4436
ASAI18,216.3,216.3,1028.898698,2.1629
ASAI19,258.1,258.1,1044.154085,2.5813
ASAI22,230.8,230.8,1042.862883,2.3084
ASAI28,233.8,233.8,1025.225696,2.3382
ASAIA0,261.4,261.4,1004.956983,2.614
ASAIA1,278.0,278.0,1035.290931,2.7797
ASAIA2,254.8,254.8,1003.131545,2.5481
ASAIA3,236.3,236.3,1011.436164,2.3629
AURE13,76.4,76.4,1050.935868,0.7637
AXIAA0,62.4,62.4,1022.829394,0.6236
AXIAB0,71.7,71.7,1026.480829,0.7171
AZZA11,139.2,139.2,1062.217128,1.3917
AZZA12,167.8,167.8,996.259654,1.6778
AZZA13,201.1,201.1,1002.76755,2.0113
BCBF16,459.3,459.3,697.624104,4.5927
BCPSA4,26.1,26.1,1010.436443,0.2609
BCPSA6,36.2,36.2,1061.248916,0.3622
BKBR19,151.6,151.6,529.944171,1.5161
BRIT11,93.7,93.7,338.186475,0.9373
BRIT12,129.6,129.6,1030.739661,1.296
BRKMA6,,,462.395493,
BRKMA8,,,458.932496,
BRKMB6,,,465.016767,
BRKMB8,,,467.669291,
BRKPA0,208.3,208.3,415.990439,2.0828
BRKPA2,243.9,243.9,1023.141189,2.4392
BRKPA3,248.4,248.4,1016.395087,2.4838
BRKPA4,263.5,263.5,1038.968926,2.6347
BRKPA5,216.4,216.4,1067.713327,2.1643
BRMLA1,39.9,39.9,1013.870942,0.3991
BRMLB1,53.7,53.7,1025.027665,0.5372
BRST14,156.8,156.8,1042.118955,1.5678
BSA312,41.0,41.0,10540.0739,0.41
BSA318,35.2,35.2,1043.294563,0.3519
BSA319,50.0,50.0,1025.866571,0.5
BSA3A0,33.7,33.7,1070.081295,0.3368
BTGH18,107.8,107.8,1044.933097,1.0781
CAEC13,130.0,130.0,1014.077445,1.2998
CAEC22,118.8,118.8,1054.528779,1.1884
CAEC32,132.0,132.0,1073.763809,1.3203
CAMLA1,242.9,242.9,1040.808293,2.4286
CAMLB1,233.6,233.6,1042.149518,2.336
CASN13,325.9,325.9,752.71095,3.2585
CASN14,160.2,160.2,1020.659032,1.6024
CBAN22,81.6,81.6,883.108398,0.8156
CBOH11,143.2,143.2,1009.534413,1.4316
CBRDB8,,,394.870558,
CCROA7,35.5,35.5,1028.174362,0.3546
CDAR11,155.2,155.2,1072.199707,1.5517
CDES12,138.1,138.1,1014.471292,1.381
CDGS26,77.1,77.1,1033.439593,0.7714
