codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,83.1,83.1,1024.844269,0.8308
AALR13,,,,
ABSP12,149.5,149.5,1003.445194,1.495
ACOV15,145.1,145.1,1043.074784,1.4514
ADPA21,245.6,245.6,1092.725581,2.4559
AEGE16,717.1,717.1,910.751841,7.1712
AEGE17,746.8,746.8,907.2564,7.4677
AEGP17,411.3,411.3,328.306749,4.1134
AEGP19,529.2,529.2,963.54034,5.2918
AEGPA4,514.9,514.9,1057.220689,5.1493
AEGPA9,517.1,517.1,999.973922,5.171
AEGPB3,568.0,568.0,892.041627,5.6795
AEGPB5,566.0,566.0,930.897085,5.6596
AEGPB7,434.0,434.0,992.797794,4.3398
AERI11,,,129.543153,
AERI12,,,197.85285,
AESLA8,59.0,59.0,1012.928528,0.5902
AGAU13,450.0,450.0,508.33043,4.4997
AGPI11,,,,
ALGAA2,120.8,120.8,1045.81281,1.2081
ALGTA5,116.7,116.7,1037.980978,1.1668
ALGTA6,120.0,120.0,1025.060795,1.2
ALPA22,65.0,65.0,1075.300922,0.6501
ALTF11,71.5,71.5,506.215336,0.7154
AMBP16,,,155.079951,
ANHBA5,72.0,72.0,1056.00499,0.7204
ANHBA6,75.5,75.5,1025.981375,0.755
ANIM15,169.3,169.3,1069.558031,1.693
ANIM17,184.0,184.0,1059.935628,1.8396
ANIM18,199.7,199.7,988.498927,1.9974
APPSB2,145.0,145.0,639.638891,1.45
APRB28,80.8,80.8,433.670714,0.8077
ARML13,244.1,244.1,1069.364724,2.441
ARML14,265.3,265.3,988.173181,2.6533
ARML15,303.1,303.1,947.553819,3.0315
ARML25,370.2,370.2,918.454853,3.7018
ARML26,366.7,366.7,1000.155882,3.6669
ARTRA1,155.3,155.3,338.932324,1.553
ARTRA4,196.6,196.6,1033.242029,1.9665
ARTRA5,207.3,207.3,1008.106885,2.0727
ASAI18,273.3,273.3,1037.153376,2.7335
ASAI19,308.1,308.1,972.374962,3.0806
ASAI22,255.3,255.3,1056.126501,2.5527
ASAI28,322.9,322.9,1022.495242,3.2294
ASAIA0,283.0,283.0,1013.668999,2.83
ASAIA1,303.3,303.3,967.309867,3.0328
ASAIA2,341.5,341.5,993.802917,3.4153
ASAIA3,329.5,329.5,1003.115426,3.2951
AURE13,100.3,100.3,987.386227,1.0033
AZZA11,133.2,133.2,1005.472223,1.332
AZZA12,226.5,226.5,994.809526,2.2649
BCBF16,818.0,818.0,631.842986,8.1795
BCPSA4,43.2,43.2,1029.685999,0.4321
BCPSA6,40.6,40.6,1005.958733,0.4057
BKBR19,170.5,170.5,1078.07559,1.7053
BRIT11,107.1,107.1,686.828148,1.0714
BRIT12,131.7,131.7,1048.574349,1.3173
BRKMA6,,,418.326545,
BRKMA8,,,424.865047,
BRKMB6,,,426.128102,
BRKMB8,,,426.649796,
BRKPA0,245.7,245.7,390.758503,2.4571
BRKPA2,296.1,296.1,1032.586848,2.9612
BRKPA3,284.8,284.8,1027.605268,2.848
BRKPA4,279.2,279.2,971.992448,2.792
BRMLA1,62.3,62.3,1022.800294,0.623
BRMLB1,73.8,73.8,1033.188205,0.7381
BRST14,158.2,158.2,1058.594317,1.5818
BSA312,74.3,74.3,10621.195779,0.7434
BSA318,54.1,54.1,1057.496808,0.5406
BSA319,59.8,59.8,1039.408243,0.5976
BSA3A0,42.2,42.2,1012.717195,0.4222
BTGH18,132.2,132.2,1058.279439,1.3225
CAEC13,179.4,179.4,1011.565976,1.7941
CAEC22,131.1,131.1,1073.165597,1.3111
CAEC32,163.2,163.2,1084.601402,1.6321
CAMLA1,158.7,158.7,1072.095389,1.587
CAMLB1,159.2,159.2,1072.002846,1.5922
CASN13,262.0,262.0,865.584394,2.6196
CASN14,255.8,255.8,996.130131,2.5583
CBAN22,103.6,103.6,899.814947,1.0364
CBOH11,161.2,161.2,1012.943304,1.6122
CBRDA8,,,182.518283,
CBRDB8,,,365.524894,
CCROA7,60.1,60.1,1041.784398,0.6014
CDAR11,174.4,174.4,1010.981758,1.7442
CDES12,127.8,127.8,1028.088905,1.2785
CEAB13,129.3,129.3,1045.642114,1.2933
CEAB14,129.0,129.0,1003.066221,1.2903
CEAB22,113.5,113.5,811.597567,1.1351
CEBD14,119.6,119.6,1028.85731,1.196
CEBD25,102.6,102.6,1065.652977,1.0256
CEEBA3,107.3,107.3,1002.493376,1.0727
CEEBA6,153.9,153.9,1034.177751,1.5388
CEEBA7,98.0,98.0,1067.752329,0.98
CEEBA8,114.2,114.2,1047.365093,1.1424
CEEBB3,117.5,117.5,1006.744125,1.1749
CEEBB4,93.9,93.9,1017.066237,0.9389
CEEBB8,111.9,111.9,1052.239428,1.1191
CEED16,87.6,87.6,1033.363207,0.8758
CEED18,75.2,75.2,1010.727093,0.752
CEED28,88.7,88.7,1006.547245,0.8868
CEEDA0,95.0,95.0,989.489889,0.9503
CEMTE2,85.9,85.9,1056.292429,0.8588
CEPEA1,91.1,91.1,1003.530978,0.911
CEPEA3,93.3,93.3,1068.803985,0.9328
CEPEA4,92.1,92.1,1018.804206,0.9212
CEPEB1,96.0,96.0,1011.428637,0.9605
CEPEB2,126.3,126.3,1010.084688,1.2631
CERO19,77.3,77.3,1003.08201,0.7732
CEROA2,87.9,87.9,1052.611743,0.8788
CEROB2,99.9,99.9,1054.860185,0.9988
CESE22,112.2,112.2,774.22676,1.1225
CESPA4,107.1,107.1,1004.980422,1.0711
CGASA3,49.6,49.6,1059.321845,0.4959
CGBP14,90.2,90.2,943.642651,0.9021
CGOS15,91.4,91.4,1014.465582,0.9137
CGOS17,82.3,82.3,1033.358162,0.8226
CGOS18,85.6,85.6,1017.481301,0.8562
CGOS19,83.7,83.7,1062.43705,0.8368
CGOSA1,98.9,98.9,988.018902,0.9886
CHSF12,81.7,81.7,1001.976087,0.8172
CHSF14,87.5,87.5,1012.370129,0.8753
CHSF24,100.4,100.4,1015.759025,1.0036
CHTH11,67.2,67.2,1042.328111,0.6723
CIEL17,43.8,43.8,1049.45429,0.4376
CIEL18,55.5,55.5,1063.213256,0.5551
CIEL19,55.1,55.1,1065.443116,0.5508
CLCD16,99.3,99.3,1074.618562,0.9933
CLCD17,94.5,94.5,1037.768041,0.9452
CLCD18,78.2,78.2,1026.518849,0.7816
CLII12,184.9,184.9,975.249141,1.8486
CLIS11,177.7,177.7,1052.108124,1.7774
CLMOA4,85.7,85.7,1061.675441,0.8574
CMGD18,93.1,93.1,1056.441458,0.9314
CMGD19,150.1,150.1,533.726644,1.5013
