codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,75.6,75.6,1035.358135,0.7563
AALR13,,,,
ABSP12,157.2,157.2,1012.143083,1.5724
ACOV15,151.8,151.8,1050.711148,1.5179
ADPA21,278.8,278.8,1098.424548,2.788
AEGE16,654.1,654.1,941.995965,6.5406
AEGE17,637.3,637.3,956.856626,6.3726
AEGP17,321.3,321.3,334.291185,3.2127
AEGP19,439.3,439.3,984.809606,4.393
AEGPA4,442.7,442.7,991.308764,4.4266
AEGPA9,389.9,389.9,1037.14159,3.8991
AEGPB3,461.1,461.1,936.583177,4.6114
AEGPB5,487.5,487.5,965.056831,4.8755
AEGPB7,362.4,362.4,1014.590142,3.6238
AERI11,,,117.445211,
AERI12,,,152.288827,
AESLA8,47.8,47.8,1024.171751,0.4777
AGAU13,451.4,451.4,513.741923,4.5139
AGPI11,,,,
ALGAA2,109.0,109.0,1057.278372,1.0902
ALGTA5,109.3,109.3,1049.864864,1.0928
ALGTA6,112.0,112.0,1037.476842,1.1203
ALPA22,59.3,59.3,1085.780197,0.5934
ALTF11,65.3,65.3,510.739835,0.6535
AMBP16,,,137.399948,
ANHBA5,64.2,64.2,996.403778,0.6425
ANHBA6,65.3,65.3,1038.983,0.6528
ANIM15,150.0,150.0,1081.819994,1.4999
ANIM17,155.0,155.0,1075.833606,1.5498
ANIM18,155.9,155.9,1008.726469,1.5591
APPSB2,140.0,140.0,645.75032,1.4
APRB28,70.0,70.0,437.703627,0.7
ARML13,224.8,224.8,1003.795437,2.2477
ARML14,255.1,255.1,1001.432436,2.5508
ARML15,257.8,257.8,973.463148,2.5784
ARML25,298.7,298.7,958.193886,2.9869
ARML26,264.6,264.6,967.200317,2.6456
ARTRA1,165.0,165.0,341.736649,1.65
ARTRA4,215.0,215.0,1040.6834,2.1499
ARTRA5,220.0,220.0,1015.400594,2.1999
ASAI18,131.7,131.7,1067.839213,1.3172
ASAI19,180.7,180.7,1007.191324,1.807
ASAI22,182.8,182.8,1076.137825,1.8285
ASAI28,179.1,179.1,1063.904146,1.7912
ASAIA0,188.5,188.5,1043.817224,1.8854
ASAIA1,191.9,191.9,1002.637705,1.9186
ASAIA2,190.8,190.8,1044.894369,1.9075
ASAIA3,190.6,190.6,1046.859409,1.9056
AURE13,95.1,95.1,997.851497,0.9512
AZZA11,121.3,121.3,1017.679968,1.2126
AZZA12,147.5,147.5,1027.192566,1.4751
BCBF16,462.6,462.6,658.333808,4.6258
BCPSA4,39.4,39.4,1038.595458,0.3937
BCPSA6,51.7,51.7,1011.976114,0.5175
BKBR19,167.0,167.0,504.410919,1.6699
BRIT11,108.1,108.1,692.785984,1.0808
BRIT12,138.5,138.5,1056.104741,1.3854
BRKMA6,,,489.6896,
BRKMA8,,,482.320712,
BRKMB6,,,486.5625,
BRKMB8,,,480.497332,
BRKPA0,248.9,248.9,394.388627,2.489
BRKPA2,285.4,285.4,1045.176177,2.8539
BRKPA3,278.0,278.0,1039.418273,2.7801
BRKPA4,291.0,291.0,978.02039,2.9104
BRMLA1,50.5,50.5,1035.717635,0.5051
BRMLB1,66.0,66.0,1045.574019,0.6605
BRST14,162.4,162.4,1066.92834,1.6244
BSA312,53.2,53.2,10046.973446,0.5325
BSA318,39.6,39.6,1069.009449,0.396
BSA319,54.0,54.0,1050.072071,0.5403
BSA3A0,41.4,41.4,1021.434892,0.4139
BTGH18,123.4,123.4,1069.600177,1.234
CAEC13,168.9,168.9,1025.009265,1.6889
CAEC22,129.1,129.1,1083.031758,1.2914
CAEC32,136.1,136.1,1103.252404,1.361
CAMLA1,163.8,163.8,1002.655261,1.6378
CAMLB1,167.2,167.2,1002.070321,1.6717
CASN13,260.7,260.7,873.986203,2.6066
CASN14,361.7,361.7,985.696069,3.6168
CBAN22,105.1,105.1,906.973772,1.0512
CBOH11,157.0,157.0,1010.939816,1.5704
CBRDB8,,,,
CCROA7,52.1,52.1,1052.110449,0.5215
CDAR11,167.7,167.7,1020.788846,1.6766
CDES12,137.6,137.6,1033.740923,1.3762
CDGS26,,,,
CEAB13,113.6,113.6,1056.671618,1.1362
CEAB14,106.2,106.2,1016.664264,1.0615
CEAB22,95.5,95.5,819.961419,0.9549
CEBD14,116.4,116.4,1038.432936,1.164
CEBD25,98.7,98.7,1075.733637,0.9871
CEEBA3,87.1,87.1,1012.140056,0.8709
CEEBA6,159.6,159.6,1042.358277,1.5957
CEEBA7,63.1,63.1,1084.644196,0.6309
CEEBA8,63.3,63.3,1069.64681,0.6329
CEEBB3,114.6,114.6,1016.09526,1.1459
CEEBB4,94.6,94.6,1025.666575,0.9459
CEEBB8,69.4,69.4,1076.218956,0.6938
CEED16,69.2,69.2,1047.134661,0.6919
CEED18,69.2,69.2,1021.200199,0.6923
CEED28,,,,
CEEDA0,80.7,80.7,1003.652727,0.8066
CEMTE2,74.0,74.0,1067.552064,0.7398
CEPEA1,81.7,81.7,1012.623359,0.8171
CEPEA3,79.0,79.0,1081.165767,0.7896
CEPEA4,96.3,96.3,1026.58071,0.9632
CEPEB1,90.2,90.2,1021.194982,0.9018
CEPEB2,99.4,99.4,1024.652962,0.9939
CERO19,57.4,57.4,1016.58958,0.5742
CEROA2,89.6,89.6,1061.173136,0.8965
CEROB2,103.5,103.5,1062.672261,1.0346
CESE22,92.2,92.2,782.85833,0.9216
CESPA4,92.6,92.6,1019.859156,0.9258
CGASA3,52.4,52.4,1067.731826,0.5236
CGASA5,74.3,74.3,1017.999525,0.7431
CGBP14,94.4,94.4,950.547614,0.944
CGOS15,70.3,70.3,1028.250542,0.7035
CGOS17,71.2,71.2,1045.155259,0.7118
CGOS18,74.0,74.0,1029.407624,0.7395
CGOS19,74.8,74.8,1075.074598,0.7482
CGOSA1,79.7,79.7,1004.014741,0.7971
CHSF12,59.5,59.5,1016.086048,0.5945
CHSF14,80.4,80.4,1023.870634,0.8042
CHSF24,91.0,91.0,1029.00401,0.9095
