codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,68.6,68.6,1056.316953,0.6856
ABSP12,149.4,149.4,1032.417345,1.4938
ACOV15,158.7,158.7,994.634498,1.5874
ADPA21,271.4,271.4,1004.977063,2.7138
AEGE16,532.3,532.3,1005.001859,5.3234
AEGE17,539.6,539.6,930.007678,5.3963
AEGP17,253.8,253.8,343.289085,2.5381
AEGP19,340.0,340.0,1018.661504,3.3999
AEGPA4,333.2,333.2,1027.312434,3.3322
AEGPA9,380.0,380.0,980.052749,3.7998
AEGPB3,370.1,370.1,988.529485,3.7012
AEGPB5,361.9,361.9,948.515332,3.6194
AEGPB7,293.6,293.6,1047.634709,2.9356
AERI11,,,118.527686,
AERI12,,,144.765306,
AESLA8,48.4,48.4,1007.293008,0.484
AGAU13,472.1,472.1,525.184119,4.7212
AGPI11,,,,
ALGAA2,108.6,108.6,1077.600716,1.0857
ALGTA5,109.3,109.3,1069.924893,1.0928
ALGTA6,113.8,113.8,1056.609962,1.1379
ALPA22,83.0,83.0,1022.91907,0.8304
ALTF11,62.0,62.0,520.31921,0.6203
AMBP16,,,152.260268,
ANHBA5,56.4,56.4,1017.317849,0.5641
ANHBA6,60.6,60.6,1060.197297,0.6055
ANIM15,141.4,141.4,769.980626,1.4142
ANIM17,140.9,140.9,1021.891371,1.4085
ANIM18,147.9,147.9,1030.626624,1.4791
APFL18,140.7,140.7,1060.153596,1.4065
APPSB2,138.7,138.7,658.469332,1.3873
APRB28,65.7,65.7,311.817389,0.657
ARML13,214.3,214.3,1026.992314,2.143
ARML14,248.8,248.8,1024.747077,2.488
ARML15,267.0,267.0,991.171807,2.6702
ARML25,292.1,292.1,982.267058,2.9205
ARML26,322.4,322.4,970.206355,3.2241
ARTRA1,157.9,157.9,348.695797,1.5791
ARTRA4,209.3,209.3,1062.654554,2.0933
ARTRA5,224.3,224.3,1035.662862,2.2429
ASAI18,138.5,138.5,1009.311782,1.3846
ASAI19,178.2,178.2,1027.928067,1.7824
ASAI22,163.2,163.2,1020.578183,1.6322
ASAI28,183.0,183.0,1005.543785,1.8298
ASAIA0,186.2,186.2,990.12937,1.8616
ASAIA1,191.2,191.2,1023.12331,1.9124
ASAIA2,192.1,192.1,989.843409,1.9212
ASAIA3,193.5,193.5,991.635679,1.9345
AURE13,81.2,81.2,1021.38476,0.8116
AZZA11,146.6,146.6,1030.701034,1.4663
AZZA12,159.9,159.9,1043.92506,1.5986
AZZA13,179.4,179.4,1049.580654,1.7944
BCBF16,526.2,526.2,671.046022,5.2623
BCPSA4,38.1,38.1,1057.613851,0.3814
BCPSA6,50.5,50.5,1030.845275,0.5051
BKBR19,151.7,151.7,515.064213,1.5165
BRIT11,96.9,96.9,706.523942,0.9691
BRIT12,130.4,130.4,1078.730018,1.3044
BRKMA6,,,483.133852,
BRKMA8,,,484.692683,
BRKMB6,,,480.159445,
BRKMB8,,,486.556914,
BRKPA0,243.6,243.6,402.823789,2.4364
BRKPA2,263.4,263.4,1072.413454,2.6341
BRKPA3,264.9,264.9,1064.918711,2.6488
BRKPA4,277.2,277.2,1003.525386,2.7718
BRMLA1,47.2,47.2,1055.878826,0.4724
BRMLB1,60.6,60.6,1067.422271,0.6059
BRST14,156.7,156.7,1012.801666,1.5672
BSA312,44.4,44.4,10256.374289,0.4441
BSA318,36.5,36.5,1016.052412,0.3646
BSA319,57.8,57.8,1068.234138,0.5778
BSA3A0,37.7,37.7,1041.188934,0.3769
BTGH18,113.6,113.6,1015.209275,1.1362
CAEC13,153.0,153.0,1051.451956,1.5304
CAEC22,121.9,121.9,1024.908468,1.2192
CAEC32,140.8,140.8,1040.963964,1.4081
CAMLA1,168.2,168.2,1021.875021,1.6817
CAMLB1,165.7,165.7,1022.269986,1.6574
CASN13,265.0,265.0,812.198236,2.6503
CASN14,233.3,233.3,1005.587221,2.3331
CBAN22,80.3,80.3,931.14522,0.8031
CBOH11,152.9,152.9,1005.74247,1.5287
CBRDB8,,,,
CCROA7,39.3,39.3,1073.774157,0.3928
CDAR11,159.7,159.7,1041.701064,1.5969
CDES12,140.0,140.0,1053.118404,1.4
CDGS26,79.5,79.5,1079.000621,0.7948
CEAB13,103.9,103.9,1077.945519,1.0393
CEAB14,87.8,87.8,1039.682127,0.8781
CEAB22,75.2,75.2,520.505955,0.7525
CEAP15,78.4,78.4,1026.642669,0.7844
CEAP16,79.2,79.2,1054.840103,0.7919
CEBD14,115.5,115.5,1058.556783,1.155
CEBD25,107.1,107.1,1016.65881,1.071
CEEBA3,90.4,90.4,1031.134277,0.9042
CEEBA6,147.5,147.5,1065.269567,1.4753
CEEBA7,66.0,66.0,1028.320525,0.6599
CEEBA8,63.1,63.1,1015.286524,0.6308
CEEBB3,107.5,107.5,1036.773984,1.0751
CEEBB4,93.0,93.0,1045.399912,0.9305
CEEBB8,72.9,72.9,1019.962099,0.7294
CEED16,63.7,63.7,1068.004894,0.6375
CEED18,61.3,61.3,1042.592447,0.6126
CEEDA0,76.1,76.1,1024.247597,0.761
CEEDA1,79.9,79.9,1020.765644,0.7988
CEMTE2,78.1,78.1,1012.029219,0.7815
CEPEA1,90.5,90.5,1031.386155,0.905
CEPEA3,73.4,73.4,1026.766147,0.7341
CEPEA4,92.6,92.6,1046.931325,0.9256
CEPEB1,93.1,93.1,1040.015216,0.9311
CEPEB2,100.5,100.5,1043.908847,1.0046
CERO19,59.2,59.2,1034.927215,0.592
CEROA2,63.0,63.0,1014.671987,0.6299
CEROB2,73.7,73.7,1018.988902,0.7366
CESE22,77.2,77.2,798.931527,0.7724
CESPA4,85.8,85.8,1041.983258,0.8578
CGASA3,52.8,52.8,1015.294102,0.5285
CGASA5,67.5,67.5,1038.59654,0.6755
CGBP14,80.1,80.1,972.633904,0.8011
CGOS15,68.3,68.3,1047.867455,0.6831
CGOS17,66.5,66.5,1065.825828,0.665
CGOS18,66.4,66.4,1050.611242,0.6642
CGOS19,70.8,70.8,1021.952318,0.708
CGOSA1,78.6,78.6,1023.327116,0.7857
CHSF12,54.0,54.0,1036.158425,0.5404
CHSF14,70.0,70.0,1047.035613,0.7001
CHSF24,82.6,82.6,1052.295586,0.8256
CHTH11,54.8,54.8,1002.528637,0.5482
CIEL17,32.8,32.8,1007.290087,0.3283
CIEL18,45.0,45.0,1021.745554,0.4498
CIEL19,39.8,39.8,1025.995884,0.3977
CLCD16,81.6,81.6,1028.526613,0.8163
CLCD17,93.7,93.7,1066.888843,0.937
CLCD18,78.9,78.9,1054.540126,0.7894
CLCD19,33.7,33.7,1082.503192,0.337
CLII12,187.5,187.5,1002.852224,1.8749
CLIS11,180.9,180.9,1081.828909,1.8089
CLMOA4,81.9,81.9,1017.631386,0.8192
CMED13,75.4,75.4,1022.070666,0.7543
CMGD18,78.6,78.6,1010.988479,0.7865
CMGDA0,49.9,49.9,1057.866871,0.4986
CMGDA1,65.8,65.8,1036.679882,0.6576
CMGDA2,66.8,66.8,1048.636724,0.6683
CMGDA3,58.4,58.4,1029.87945,0.5844
CMGDB3,73.1,73.1,1031.327248,0.7313
CMGTA0,57.6,57.6,1042.445068,0.5756
CMPH14,,,398.981267,
CMTR19,67.5,67.5,674.517892,0.6746
CNLM17,78.5,78.5,1035.914953,0.7847
COCEA2,106.3,106.3,1018.287322,1.0634
COGNA4,123.3,123.3,1025.582552,1.2331
COGNA5,104.8,104.8,1055.353932,1.0481
COGNB2,118.9,118.9,1026.380197,1.1888
COLNA3,82.3,82.3,1065.022849,0.8232
CPFGA3,62.2,62.2,1006.106215,0.6218
CPFPA6,57.0,57.0,474.765841,0.5703
CPFPA8,49.1,49.1,1007.132055,0.4911
CPFPB8,57.7,57.7,1007.666814,0.5768
CPGT17,79.8,79.8,515.832363,0.7982
CPGT18,69.4,69.4,1086.349405,0.6941
CPGT19,56.4,56.4,1028.995488,0.5644
CPGT29,71.3,71.3,1029.431338,0.7127
CPGT39,86.8,86.8,1034.597003,0.8681
CPGTA0,50.5,50.5,1053.008326,0.5054
CPGTB0,83.0,83.0,1050.652551,0.8302
CPLD19,66.1,66.1,1014.957468,0.6609
CPLD27,88.5,88.5,510.867876,0.8849
CPLD38,149.8,149.8,1019.231059,1.4981
CPLDA0,60.6,60.6,1059.549312,0.6061
CPLDB0,73.9,73.9,1058.321317,0.7392
CPREA0,71.2,71.2,1014.995572,0.7118
CPTE12,94.3,94.3,735.776107,0.9431
CSAN15,228.9,228.9,1031.733718,2.2891
CSAN18,162.2,162.2,1073.239395,1.6221
CSAN23,166.0,166.0,1067.149341,1.6601
CSAN24,189.1,189.1,1023.660608,1.8905
CSANA0,157.1,157.1,987.934299,1.5713
CSANA2,180.0,180.0,1159.663269,1.7995
CSANB0,172.5,172.5,990.136325,1.7248
CSANB1,176.6,176.6,1039.382238,1.766
CSANB2,160.6,160.6,1169.127939,1.606
CSANC1,221.9,221.9,1027.147634,2.2193
CSANC2,176.4,176.4,1170.313269,1.7638
CSED12,110.3,110.3,1064.092472,1.1035
CSMGA7,81.0,81.0,834.16935,0.8104
CSMGA8,92.3,92.3,1010.830988,0.9229
CSMGA9,83.9,83.9,1030.855542,0.8392
CSMGB0,89.5,89.5,1006.072365,0.895
CSMGB6,75.1,75.1,77.461739,0.7506
CSMGD1,89.3,89.3,1013.835398,0.8927
CSMGD2,82.8,82.8,998.368139,0.8282
CSNAA1,1733.8,1733.8,809.395223,17.3377
CSNAA2,1454.3,1454.3,906.963144,14.5429
