codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,71.3,71.3,1063.332288,0.7127
ABSP12,149.3,149.3,1040.286463,1.4934
ACOV15,160.0,160.0,1001.924185,1.6
ADPA21,238.7,238.7,1017.447747,2.3869
AEGE16,504.4,504.4,1023.522833,5.0441
AEGE17,508.0,508.0,950.395054,5.0798
AEGP17,178.6,178.6,347.850679,1.7863
AEGP19,269.1,269.1,1034.919288,2.6915
AEGPA4,293.0,293.0,1040.692601,2.9302
AEGPA9,314.9,314.9,1001.512599,3.1489
AEGPB3,328.8,328.8,1010.674664,3.2883
AEGPB5,323.2,323.2,968.448603,3.2321
AEGPB7,232.6,232.6,1065.381261,2.3256
AERI11,,,120.98373,
AERI12,,,156.563673,
AESLA8,47.5,47.5,1014.65429,0.4747
AGAU13,461.1,461.1,530.382121,4.611
AGPI11,,,,
ALGAA2,104.8,104.8,1009.42647,1.0478
ALGTA5,104.4,104.4,1079.665172,1.0438
ALGTA6,111.1,111.1,1065.601383,1.1107
ALPA22,95.3,95.3,1027.397455,0.9526
AMBP16,,,,
ANHBA5,52.0,52.0,1025.905797,0.5202
ANHBA6,58.8,58.8,997.08596,0.588
ANIM15,170.0,170.0,772.397222,1.6999
ANIM17,184.0,184.0,1021.066039,1.8398
ANIM18,181.2,181.2,1030.519403,1.8116
APFL18,140.1,140.1,1000.135004,1.4009
APPSB2,139.0,139.0,663.439469,1.3898
APRB28,62.6,62.6,314.128773,0.6261
ARML13,215.1,215.1,1034.974055,2.1512
ARML14,262.0,262.0,1028.759472,2.6198
ARML15,282.7,282.7,993.909073,2.8273
ARML25,296.0,296.0,988.843383,2.9603
ARML26,301.6,301.6,984.663487,3.016
ARTRA1,158.1,158.1,351.365094,1.5807
ARTRA4,210.0,210.0,1071.017338,2.1
ARTRA5,223.9,223.9,1044.01166,2.2391
ASAI18,146.4,146.4,1015.904168,1.4638
ASAI19,176.4,176.4,1036.252769,1.7636
ASAI22,162.6,162.6,1028.512674,1.6256
ASAI28,179.9,179.9,1014.015315,1.7994
ASAIA0,182.8,182.8,998.528896,1.8279
ASAIA1,189.8,189.8,1031.434818,1.8981
ASAIA2,191.6,191.6,997.720167,1.9158
ASAIA3,188.8,188.8,1000.47542,1.8882
AURE13,80.9,80.9,1028.881622,0.8091
AZZA11,142.1,142.1,1039.712221,1.4207
AZZA12,180.0,180.0,1046.317418,1.7999
AZZA13,201.4,201.4,1054.695712,2.0138
BCBF16,507.7,507.7,678.221105,5.0768
BCPSA4,32.7,32.7,1065.388141,0.3273
BCPSA6,36.4,36.4,1040.980901,0.3641
BKBR19,148.9,148.9,519.098624,1.4888
BRIT11,94.5,94.5,711.815057,0.9448
BRIT12,128.2,128.2,1010.090773,1.2817
BRKMA6,,,498.226555,
BRKMA8,,,491.089179,
BRKMB6,,,506.484114,
BRKMB8,,,503.889299,
BRKPA0,239.3,239.3,406.208616,2.3928
BRKPA2,260.3,260.3,1081.894929,2.6034
BRKPA3,257.5,257.5,1075.521085,2.5746
BRKPA4,275.3,275.3,1012.355874,2.7534
BRMLA1,44.7,44.7,1064.279476,0.4466
BRMLB1,54.4,54.4,1077.971062,0.5437
BRST14,155.0,155.0,1021.056799,1.55
BSA312,45.2,45.2,10326.863799,0.4521
BSA318,34.7,34.7,1023.503742,0.3469
BSA319,50.7,50.7,1005.900829,0.5067
BSA3A0,36.3,36.3,1048.946011,0.3628
BTGH18,111.0,111.0,1023.3009,1.1103
CAEC13,142.6,142.6,1063.37095,1.4261
CAEC22,123.1,123.1,1032.378145,1.2308
CAEC32,143.9,143.9,1047.892055,1.4391
CAMLA1,172.9,172.9,1029.002258,1.7294
CAMLB1,168.8,168.8,1029.663493,1.6877
CASN13,255.1,255.1,779.832302,2.551
CASN14,201.7,201.7,1005.776219,2.0172
CBAN22,80.0,80.0,866.034101,0.8
CBOH11,151.9,151.9,1013.574142,1.5194
CBRDB8,,,,
CCROA7,36.5,36.5,1008.396659,0.365
CDAR11,160.1,160.1,1049.670856,1.6007
CDES12,140.0,140.0,1061.093646,1.4
CDGS26,79.9,79.9,1012.154101,0.7989
CEAB13,117.1,117.1,1006.520656,1.1714
CEAB14,85.0,85.0,1047.803685,0.8505
CEAB22,70.8,70.8,524.560877,0.7078
CEAP15,81.9,81.9,1033.393883,0.8194
CEAP16,77.9,77.9,1062.811844,0.7787
CEBD14,115.1,115.1,1066.502072,1.1512
CEBD25,103.6,103.6,1024.929563,1.0365
CEEBA3,88.8,88.8,1038.721545,0.8882
CEEBA6,144.6,144.6,1073.928671,1.446
CEEBA7,68.6,68.6,1035.189434,0.6862
CEEBA8,66.9,66.9,1021.643028,0.6692
CEEBB3,104.5,104.5,1044.930545,1.0453
CEEBB8,74.7,74.7,1026.741359,0.7474
CEED16,61.6,61.6,1076.226035,0.6163
CEED18,60.5,60.5,1050.30756,0.6047
CEEDA0,76.2,76.2,1031.623755,0.7621
CEEDA1,79.2,79.2,1028.431818,0.7925
CEMTE2,71.6,71.6,1020.476094,0.716
CEPEA1,90.5,90.5,1038.933223,0.9055
CEPEA3,74.5,74.5,1033.981006,0.7449
CEPEA4,86.6,86.6,1055.981506,0.8657
CEPEB1,95.2,95.2,1047.313655,0.9524
CEPEB2,109.2,109.2,1049.901496,1.0918
CERO19,63.2,63.2,1041.399173,0.6322
CEROA2,64.1,64.1,1021.642106,0.6415
CEROB2,74.9,74.9,1025.920343,0.7489
CESE22,74.0,74.0,805.00376,0.7398
CESPA4,84.7,84.7,1050.002247,0.8471
CGASA3,46.9,46.9,1023.512412,0.469
CGASA5,66.0,66.0,1046.435465,0.6598
CGBP14,83.0,83.0,978.892631,0.8298
CGOS15,72.9,72.9,1054.396872,0.7286
CGOS17,66.0,66.0,1073.627249,0.6602
CGOS18,67.2,67.2,1057.972935,0.6722
CGOS19,68.7,68.7,1030.166306,0.6866
CGOSA1,77.4,77.4,1031.186586,0.7739
CHSF12,61.2,61.2,1041.864187,0.6124
CHSF14,63.5,63.5,1057.04488,0.6354
CHSF24,70.6,70.6,1065.528359,0.7057
CHTH11,52.8,52.8,1010.17382,0.5279
CIEL17,31.2,31.2,1014.577535,0.3123
CIEL18,43.7,43.7,1029.290619,0.4371
CIEL19,39.1,39.1,1033.36836,0.3911
CLCD16,80.1,80.1,1036.201883,0.8012
CLCD17,90.8,90.8,1001.912426,0.9084
CLCD18,80.2,80.2,1061.773964,0.8024
CLCD19,38.5,38.5,1089.787598,0.3853
CLII12,185.9,185.9,1011.13403,1.8587
CLIS11,164.6,164.6,1094.427244,1.6459
CLMOA4,70.9,70.9,1029.303307,0.7087
CMED13,71.2,71.2,1030.309431,0.7123
CMGD18,78.8,78.8,1018.313164,0.7881
CMGDA0,46.3,46.3,1066.058167,0.4628
CMGDA1,63.5,63.5,1044.928686,0.6348
CMGDA2,66.6,66.6,1056.265239,0.6663
CMGDA3,57.7,57.7,1037.44893,0.5769
CMGDB3,68.0,68.0,1040.758019,0.6795
CMGTA0,54.2,54.2,1050.768601,0.5424
CMPH14,,,491.46527,
CMTR19,70.9,70.9,679.177166,0.709
CNLM17,81.8,81.8,1042.030587,0.8176
COCEA2,105.3,105.3,1026.066491,1.0532
COGNA4,121.0,121.0,1033.824263,1.21
COGNA5,103.0,103.0,1063.518959,1.0295
COGNB2,115.7,115.7,1034.700341,1.1567
COLNA3,81.9,81.9,994.957428,0.8188
CPFGA3,63.6,63.6,1012.829617,0.6361
CPFPA6,46.7,46.7,478.611794,0.4672
CPFPA8,51.7,51.7,1013.707135,0.5171
CPFPB8,59.5,59.5,1014.244151,0.595
CPGT17,77.3,77.3,519.611396,0.7732
CPGT18,74.1,74.1,1016.974171,0.7405
CPGT19,50.5,50.5,1037.493198,0.5053
CPGT29,69.4,69.4,1037.521133,0.6941
CPGT39,78.5,78.5,1046.006398,0.785
CPGTA0,47.0,47.0,1061.156333,0.4699
CPGTB0,79.0,79.0,1059.774831,0.7904
CPLD19,60.0,60.0,1024.103526,0.5995
CPLD27,86.8,86.8,514.669269,0.8681
CPLD38,149.8,149.8,1027.024802,1.4976
CPLDA0,60.1,60.1,996.23415,0.6011
CPLDB0,70.9,70.9,995.360233,0.7093
CPREA0,70.1,70.1,1022.571353,0.7006
CPTE12,90.2,90.2,639.353695,0.9021
CSAN15,217.3,217.3,1041.835313,2.1734
CSAN18,149.4,149.4,1085.429024,1.4944
CSAN23,158.3,158.3,1077.779156,1.5831
CSAN24,184.6,184.6,1033.194567,1.8462
CSANA0,154.9,154.9,995.947502,1.5489
CSANA2,172.7,172.7,1170.781946,1.7269
CSANB0,168.2,168.2,999.66812,1.6818
CSANB1,156.1,156.1,980.062391,1.561
CSANB2,149.6,149.6,1181.366864,1.4957
