codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,80.0,80.0,1087.43298,0.8003
AALR13,734.4,734.4,723.76941,7.3435
ABSP12,157.8,157.8,1065.003324,1.5782
ADPA21,231.4,231.4,1074.846788,2.3136
AEGE16,325.1,325.1,1112.79537,3.2505
AEGE17,335.8,335.8,1040.096184,3.3585
AEGP17,162.9,162.9,711.955637,1.6289
AEGP19,169.7,169.7,1070.089652,1.697
AEGPA4,227.3,227.3,1075.197453,2.2728
AEGPA9,253.0,253.0,1036.495102,2.5296
AEGPB3,228.5,228.5,987.383263,2.2851
AEGPB5,217.1,217.1,1020.647358,2.1705
AEGPB7,225.5,225.5,1094.726219,2.2547
AERI11,,,121.229816,
AERI12,,,164.349442,
AESLA8,46.2,46.2,1034.345866,0.462
AGAU13,432.3,432.3,1091.054066,4.3231
AGPI11,170.0,170.0,1031.617492,1.7
ALGAA2,105.6,105.6,1031.125383,1.0558
ALGTA5,110.3,110.3,1022.788861,1.1035
ALGTA6,114.8,114.8,1009.872404,1.1476
ALPA22,69.3,69.3,1056.494427,0.6931
ALTF11,101.6,101.6,516.203927,1.0159
AMBP16,,,162.700902,
ANHBA5,53.7,53.7,1044.55276,0.5369
ANHBA6,61.9,61.9,1014.669979,0.6186
ANIM15,155.7,155.7,1052.734682,1.5571
ANIM17,169.5,169.5,1044.354154,1.6951
ANIM18,174.6,174.6,1041.603197,1.7462
APPSB2,128.1,128.1,816.363598,1.2814
APRB28,67.7,67.7,426.933556,0.6769
ARML13,175.7,175.7,1067.169333,1.7571
ARML14,196.8,196.8,1074.895012,1.9677
ARML15,199.3,199.3,1044.711735,1.993
ARML25,242.5,242.5,1033.026362,2.4254
ARML26,213.9,213.9,1030.021419,2.1394
ARTRA1,118.5,118.5,723.328133,1.1848
ARTRA4,169.7,169.7,1023.302969,1.6967
ARTRA5,167.4,167.4,1084.312982,1.6744
ASAI18,140.6,140.6,1038.836588,1.4063
ASAI19,156.8,156.8,1062.042034,1.568
ASAI22,148.8,148.8,1052.608402,1.4885
ASAI28,161.8,161.8,1039.660786,1.6184
ASAIA0,158.9,158.9,1022.595815,1.5887
ASAIA1,161.9,161.9,1059.670437,1.619
ASAIA2,161.5,161.5,1025.248889,1.6153
ASAIA3,168.3,168.3,1024.448808,1.6829
AURE13,85.4,85.4,1048.399336,0.8537
AZZA11,124.4,124.4,1067.81829,1.2439
AZZA12,146.2,146.2,1000.743281,1.4616
BCBF16,285.4,285.4,700.440432,2.8541
BCPSA4,41.1,41.1,1013.232576,0.4106
BCPSA6,40.1,40.1,1062.337887,0.4008
BKBR19,170.5,170.5,1059.102898,1.7052
BRIT11,79.7,79.7,676.916204,0.7965
BRIT12,105.8,105.8,1037.617367,1.0583
BRKMA6,,,428.088963,
BRKMA8,,,422.896642,
BRKMB6,,,416.829788,
BRKMB8,,,431.665036,
BRKPA0,155.5,155.5,415.35768,1.5552
BRKPA2,200.9,200.9,1036.160054,2.0092
BRKPA3,193.5,193.5,1033.401098,1.9347
BRKPA4,194.2,194.2,1054.545485,1.9415
BRMLA1,49.1,49.1,1010.930226,0.4914
BRMLB1,71.5,71.5,1017.162476,0.7155
BRST14,131.3,131.3,1048.664807,1.3133
BSA312,60.6,60.6,10486.219563,0.6064
BSA318,38.1,38.1,1043.376383,0.3807
BSA319,52.5,52.5,1024.861738,0.5247
BSA3A0,42.0,42.0,1066.760514,0.42
BTGH18,109.9,109.9,1045.286948,1.0991
CAEC13,154.1,154.1,1003.600666,1.5405
CAEC22,128.1,128.1,1055.439193,1.2809
CAEC32,152.1,152.1,1069.428674,1.5209
CAMLA1,122.6,122.6,1060.149336,1.2265
CAMLB1,122.0,122.0,1060.262863,1.2205
CASN13,186.9,186.9,937.560898,1.8694
CASN14,251.1,251.1,1003.362708,2.511
CBAN22,85.3,85.3,890.132373,0.8533
CBOH11,147.9,147.9,1010.02828,1.4793
CBRDA8,,,,
CBRDB8,,,694.562635,
CCROA7,41.1,41.1,1028.623547,0.4112
CDAR11,161.5,161.5,1074.836919,1.6148
CEAB13,108.7,108.7,1030.336388,1.0868
CEAB14,81.4,81.4,1054.153011,0.8142
CEAB22,79.0,79.0,800.670811,0.7899
CEBD14,111.5,111.5,1012.773286,1.1146
CEBD25,87.0,87.0,1051.453772,0.8695
CEEBA3,101.5,101.5,1062.28163,1.0153
CEEBA6,149.5,149.5,1017.100541,1.4954
CEEBA7,84.9,84.9,1052.861926,0.8493
CEEBA8,82.1,82.1,1038.203279,0.8212
CEEBB3,110.6,110.6,1068.059202,1.1059
CEEBB4,94.5,94.5,1078.061616,0.9452
CEEBB8,106.4,106.4,1036.369989,1.0639
CEED16,65.8,65.8,1022.215127,0.6577
CEED18,67.7,67.7,1070.765288,0.6767
CEEDA0,76.8,76.8,1046.198366,0.7682
CEMTE2,51.7,51.7,1045.451842,0.5167
CEPEA1,88.5,88.5,1063.567248,0.8848
CEPEA3,86.2,86.2,1052.564624,0.8621
CEPEA4,76.2,76.2,1082.408485,0.762
CEPEB1,96.7,96.7,1071.775381,0.9674
CEPEB2,107.8,107.8,1075.072251,1.0781
CERO19,62.9,62.9,1064.112133,0.6289
CEROA2,88.5,88.5,1034.862406,0.8853
CEROB2,102.2,102.2,1036.210167,1.0225
CESE22,97.0,97.0,825.880412,0.9702
CESPA4,77.6,77.6,1000.353687,0.7758
CGASA3,51.3,51.3,1041.773575,0.5132
CGBP14,78.7,78.7,1046.484729,0.7874
CGOS15,69.4,69.4,1078.858623,0.6937
CGOS17,65.0,65.0,1021.011326,0.6498
CGOS18,65.9,65.9,1082.541908,0.6588
CGOS19,72.7,72.7,1049.253811,0.7272
CGOSA1,83.7,83.7,1043.494805,0.8371
CHSF12,60.2,60.2,1064.81272,0.6021
CHSF14,73.2,73.2,1076.783105,0.7317
CHSF24,78.2,78.2,1085.971329,0.7819
CHTH11,52.7,52.7,1029.113265,0.5268
CIEL17,35.2,35.2,1033.866369,0.3524
CIEL18,44.2,44.2,1048.875261,0.4418
CIEL19,36.2,36.2,1052.360277,0.362
CLCD16,90.5,90.5,1057.917757,0.9053
CLCD17,93.1,93.1,1020.868156,0.9313
CLII12,179.7,179.7,1040.741707,1.7973
CLIS11,176.0,176.0,1033.993502,1.76
CLMOA4,76.1,76.1,1047.915269,0.7611
CMGD18,79.2,79.2,1040.433213,0.7917
CMGD19,128.4,128.4,524.663582,1.2844
CMGDA0,51.8,51.8,1013.000984,0.5184
CMGDA1,67.6,67.6,1065.859825,0.6756
CMGDA2,69.5,69.5,1078.695731,0.6948
CMGDA3,55.7,55.7,1059.93811,0.557
CMGDB3,56.2,56.2,1067.797906,0.5616
CMGTA0,61.1,61.1,1071.841836,0.6109
CMPH14,,,416.586627,
CMTR19,67.0,67.0,694.378425,0.6699
COCEA2,96.3,96.3,1048.583724,0.9634
COGNA4,101.1,101.1,1060.725638,1.0111
COGNA5,81.4,81.4,1014.59052,0.8141
COGNB2,100.4,100.4,1060.067735,1.0045
COLNA3,86.1,86.1,1017.921436,0.8612
COMR16,178.5,178.5,1068.075092,1.785
CPFGA3,71.7,71.7,1029.227835,0.7169
