codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,68.3,68.3,1055.18931,0.6828
ABSP12,150.0,150.0,1031.193921,1.4996
ACOV15,157.3,157.3,993.868453,1.5728
ADPA21,272.0,272.0,1003.625043,2.7201
AEGE16,525.2,525.2,1005.914293,5.2522
AEGE17,533.3,533.3,931.108888,5.333
AEGP17,250.2,250.2,342.950784,2.5021
AEGP19,341.6,341.6,1017.160007,3.4155
AEGPA4,331.6,331.6,1026.15531,3.3162
AEGPA9,379.6,379.6,978.829237,3.7961
AEGPB3,368.5,368.5,987.868515,3.6852
AEGPB5,358.6,358.6,948.362662,3.5863
AEGPB7,292.4,292.4,1046.467784,2.9241
AERI11,,,117.833057,
AERI12,,,146.180097,
AESLA8,48.4,48.4,1006.194556,0.4841
AGAU13,474.2,474.2,524.371727,4.7418
AGPI11,,,,
ALGAA2,109.6,109.6,1076.178556,1.0963
ALGTA5,109.5,109.5,1068.593342,1.0955
ALGTA6,113.7,113.7,1055.415464,1.1374
ALPA22,88.2,88.2,1020.461727,0.8825
ALTF11,65.7,65.7,519.647373,0.657
AMBP16,,,151.552916,
ANHBA5,56.0,56.0,1016.348104,0.5596
ANHBA6,60.9,60.9,1058.901539,0.6091
ANIM15,141.5,141.5,769.072849,1.4149
ANIM17,141.2,141.2,1020.621943,1.4124
ANIM18,148.7,148.7,1029.236212,1.4868
APPSB2,138.2,138.2,657.738801,1.3823
APRB28,65.3,65.3,311.483907,0.6528
ARML13,215.0,215.0,1025.574938,2.15
ARML14,246.2,246.2,1024.380589,2.4616
ARML15,266.4,266.4,990.236741,2.6641
ARML25,294.1,294.1,980.333035,2.9405
ARML26,319.9,319.9,969.789105,3.1994
ARTRA1,158.5,158.5,348.272474,1.5852
ARTRA4,210.0,210.0,1061.290624,2.1
ARTRA5,224.5,224.5,1034.362144,2.2448
ASAI18,137.1,137.1,1008.324964,1.3711
ASAI19,178.3,178.3,1026.704291,1.7829
ASAI22,162.2,162.2,1019.509293,1.6216
ASAI28,182.3,182.3,1004.480556,1.8232
ASAIA0,181.9,181.9,989.845262,1.8187
ASAIA1,191.4,191.4,1021.881382,1.9138
ASAIA2,191.8,191.8,988.769043,1.918
ASAIA3,193.4,193.4,990.487841,1.9336
AURE13,81.9,81.9,1020.013692,0.8193
AZZA11,148.9,148.9,1028.906141,1.4894
AZZA12,162.6,162.6,1041.951914,1.6256
BCBF16,520.6,520.6,670.333579,5.2057
BCPSA4,37.9,37.9,1056.485242,0.3793
BCPSA6,48.8,48.8,1030.071304,0.4878
BKBR19,150.9,150.9,514.491875,1.509
BRIT11,97.0,97.0,705.725422,0.9696
BRIT12,131.7,131.7,1077.164677,1.317
BRKMA6,,,482.527856,
BRKMA8,,,487.817047,
BRKMB6,,,486.294371,
BRKMB8,,,480.855725,
BRKPA0,242.2,242.2,402.366182,2.4223
BRKPA2,263.8,263.8,1070.970605,2.6378
BRKPA3,263.4,263.4,1063.941224,2.6341
BRKPA4,276.5,276.5,1002.504404,2.7654
BRMLA1,47.9,47.9,1054.49097,0.4789
BRMLB1,59.1,59.1,1066.928817,0.5905
BRST14,155.4,155.4,1012.018737,1.5538
BSA312,43.7,43.7,10247.238162,0.4367
BSA318,36.2,36.2,1014.998799,0.3619
BSA319,54.6,54.6,1068.055677,0.5463
