codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,81.5,81.5,1025.805871,0.8154
AALR13,,,,
ABSP12,150.3,150.3,1004.008292,1.5034
ACOV15,142.9,142.9,1044.324627,1.429
ADPA21,244.7,244.7,1093.554713,2.447
AEGE16,701.0,701.0,916.368156,7.0097
AEGE17,693.9,693.9,925.525557,6.9395
AEGP17,414.4,414.4,328.449262,4.1437
AEGP19,484.2,484.2,969.614879,4.8423
AEGPA4,497.3,497.3,1060.252363,4.9726
AEGPA9,499.3,499.3,1004.353174,4.9933
AEGPB3,542.4,542.4,900.579651,5.4242
AEGPB5,508.4,508.4,948.278244,5.0844
AEGPB7,445.0,445.0,991.766511,4.4503
AERI11,,,132.673623,
AERI12,,,185.198154,
AESLA8,60.7,60.7,1013.099066,0.607
AGAU13,451.1,451.1,508.649727,4.5107
AGPI11,,,,
ALGAA2,121.4,121.4,1046.319184,1.2136
ALGTA5,116.1,116.1,1038.828795,1.1606
ALGTA6,120.0,120.0,1025.665867,1.2
ALPA22,70.5,70.5,1074.448784,0.7048
ALTF11,68.5,68.5,506.61277,0.6848
AMBP16,,,143.413547,
ANHBA5,72.4,72.4,1056.498456,0.724
ANHBA6,72.9,72.9,1027.612747,0.7294
ANIM15,168.6,168.6,1070.30591,1.6858
ANIM17,179.8,179.8,1061.485068,1.798
ANIM18,191.0,191.0,991.333765,1.9099
APPSB2,145.0,145.0,640.020801,1.45
APRB28,79.8,79.8,433.950808,0.7976
ARML13,239.8,239.8,1071.095084,2.3983
ARML14,266.9,266.9,988.296282,2.6687
ARML15,297.7,297.7,950.127843,2.9765
ARML25,338.4,338.4,932.025934,3.3841
ARML26,332.0,332.0,1011.626749,3.3201
ARTRA1,157.1,157.1,339.086428,1.5709
ARTRA4,202.3,202.3,1033.200101,2.0227
ARTRA5,211.5,211.5,1008.013861,2.115
ASAI18,240.3,240.3,1042.712442,2.4034
ASAI19,294.8,294.8,975.659289,2.9475
ASAI22,249.9,249.9,1057.556371,2.499
ASAI28,315.9,315.9,1024.718984,3.1586
ASAIA0,278.4,278.4,1015.322403,2.7844
ASAIA1,298.0,298.0,969.187777,2.9797
ASAIA2,354.4,354.4,991.104309,3.5437
ASAIA3,320.6,320.6,1005.938917,3.2063
AURE13,99.1,99.1,988.367422,0.9914
AZZA11,137.9,137.9,1004.763861,1.3794
AZZA12,186.0,186.0,1007.232384,1.8596
BCBF16,854.9,854.9,630.456224,8.549
