codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,72.7,72.7,1087.802746,0.7272
ABSP12,150.0,150.0,1065.861157,1.5005
ACOV15,152.5,152.5,1028.560987,1.5254
ADPA21,242.1,242.1,1043.600203,2.4212
AEGE16,500.4,500.4,965.192918,5.0041
AEGE17,550.5,550.5,963.970481,5.5052
AEGP17,161.4,161.4,356.892637,1.6138
AEGP19,270.0,270.0,1062.359717,2.6996
AEGPA4,278.3,278.3,1070.276415,2.783
AEGPA9,268.4,268.4,1037.754325,2.6838
AEGPB3,334.4,334.4,956.607573,3.3443
AEGPB5,329.4,329.4,993.110389,3.2937
AEGPB7,224.1,224.1,1009.493918,2.2412
AERI11,,,119.231071,
AERI12,,,160.405157,
AESLA8,42.7,42.7,1002.942684,0.4271
AGAU13,,,,
AGPI11,,,,
ALGAA2,109.8,109.8,1032.677783,1.0979
ALGTA5,106.1,106.1,1028.116794,1.0607
ALGTA6,113.8,113.8,1013.098855,1.1377
ALPA22,99.2,99.2,1050.832094,0.992
AMBP16,,,187.883797,
ANHBA5,50.6,50.6,1049.864949,0.5057
ANHBA6,55.9,55.9,1021.207206,0.5585
ANIM15,194.7,194.7,788.967624,1.9466
ANIM17,206.9,206.9,1042.527854,2.0687
ANIM18,214.3,214.3,1048.923695,2.1428
APFL18,251.9,251.9,1002.431306,2.5194
APPSB2,137.2,137.2,504.43038,1.3725
APRB28,68.3,68.3,321.293314,0.6831
ARML13,311.7,311.7,1040.728794,3.1167
ARML14,370.2,370.2,943.302367,3.7023
ARML15,397.4,397.4,983.223903,3.9744
ARML25,435.6,435.6,961.419466,4.3557
ARML26,409.7,409.7,980.087124,4.0969
ARTRA1,166.3,166.3,333.701322,1.6628
ARTRA4,244.7,244.7,675.092899,2.4472
ARTRA5,250.5,250.5,1067.347693,2.5052
ASAI18,249.5,249.5,1028.758635,2.4949
ASAI19,240.2,240.2,1051.107691,2.4024
ASAI22,245.4,245.4,1045.11598,2.4537
ASAI28,242.4,242.4,1027.323363,2.4239
ASAIA0,256.2,256.2,1009.69222,2.5616
ASAIA1,238.4,238.4,1047.329046,2.3843
ASAIA2,237.8,237.8,1011.144181,2.3783
ASAIA3,240.0,240.0,1014.334748,2.4001
AURE13,75.8,75.8,1054.568791,0.7582
AXIAA0,62.6,62.6,1026.016268,0.6265
AXIAB0,69.9,69.9,1030.7542,0.6992
AZZA11,142.9,142.9,1064.939122,1.4293
AZZA12,152.4,152.4,1003.90427,1.5243
AZZA13,204.9,204.9,1005.888164,2.0491
BCBF16,469.9,469.9,700.181524,4.6993
BCPSA4,26.5,26.5,1013.616436,0.2653
BCPSA6,36.8,36.8,1064.533889,0.3675
BKBR19,156.0,156.0,531.649501,1.5604
BRIT11,94.5,94.5,339.286562,0.9454
BRIT12,129.5,129.5,1034.26921,1.2952
BRKMA6,,,473.418471,
BRKMA8,,,460.385706,
BRKMB6,,,478.422707,
BRKMB8,,,471.047559,
BRKPA0,204.6,204.6,417.56711,2.0459
BRKPA2,243.4,243.4,1027.004313,2.434
BRKPA3,248.4,248.4,1020.142721,2.4836
BRKPA4,267.5,267.5,1041.663705,2.6747
BRKPA5,217.8,217.8,996.232949,2.1778
BRMLA1,40.6,40.6,1016.868304,0.406
BRMLB1,51.6,51.6,1029.26844,0.5162
BRST14,157.6,157.6,1045.509396,1.5761
BSA312,41.3,41.3,10572.941071,0.4132
BSA318,35.4,35.4,1046.583265,0.3542
BSA319,49.8,49.8,1029.224621,0.4982
BSA3A0,34.2,34.2,1073.342475,0.3418
BTGH18,107.0,107.0,1048.599698,1.0698
CAEC13,133.1,133.1,1016.380815,1.331
CAEC22,119.1,119.1,1058.051674,1.1906
CAEC32,126.3,126.3,1079.206229,1.263
CAMLA1,370.4,370.4,1026.734116,3.7041
CAMLB1,336.9,336.9,1031.381162,3.369
CASN13,324.0,324.0,755.746375,3.24
CASN14,164.1,164.1,1011.322335,1.6413
CBAN22,85.0,85.0,885.035326,0.85
CBOH11,143.5,143.5,1012.962363,1.4348
CBRDB8,,,396.283467,
CDAR11,155.0,155.0,1075.930105,1.55
CDES12,138.1,138.1,1017.958081,1.3808
CDGS26,77.1,77.1,1036.833604,0.7712
CEAB13,122.7,122.7,1030.27938,1.2273
CEAB14,85.5,85.5,999.008789,0.8554
CEAB22,69.4,69.4,536.849199,0.6939
CEAP15,80.7,80.7,1057.872927,0.8073
CEAP16,80.2,80.2,1010.764637,0.8017
CEBD14,115.0,115.0,1014.076702,1.15
CEBD25,103.8,103.8,1049.343759,1.0377
CEEBA3,85.6,85.6,1063.231923,0.856
CEEBA6,147.5,147.5,1020.016321,1.4754
CEEBA7,74.4,74.4,1058.13424,0.7439
CEEBA8,62.3,62.3,1046.430391,0.6234
CEEBB3,109.1,109.1,1069.188405,1.0908
CEEBB8,69.0,69.0,1052.635453,0.6895
CEED16,63.4,63.4,1025.764272,0.6344
CEED18,60.4,60.4,1074.58128,0.6044
CEEDA0,76.9,76.9,1055.46653,0.7687
CEEDA1,82.4,82.4,1051.267294,0.8238
CEMTE2,58.0,58.0,1046.343976,0.5803
CEPEA1,90.1,90.1,1063.454914,0.9007
CEPEA3,74.2,74.2,1058.161303,0.7425
CEPEA4,92.5,92.5,1079.558191,0.9251
CEPEB1,98.0,98.0,1071.729389,0.9796
CEPEB2,101.1,101.1,1076.521412,1.0107
CERO19,51.9,51.9,1068.023023,0.5194
CEROA2,57.1,57.1,1047.226382,0.5708
CEROB2,66.9,66.9,1052.775538,0.6687
CESE22,71.4,71.4,512.207222,0.7143
CESPA4,72.3,72.3,1007.369584,0.723
CGASA3,46.5,46.5,1046.972968,0.4648
CGASA5,72.6,72.6,1000.525984,0.7256
CGBP14,85.9,85.9,1001.071709,0.8594
CGOS15,63.8,63.8,1080.915312,0.6383
