codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,73.7,73.7,1077.488026,0.7372
ABSP12,149.2,149.2,1055.49626,1.492
ACOV15,152.8,152.8,1018.520833,1.5276
ADPA21,237.4,237.4,1033.37311,2.3742
AEGE16,492.3,492.3,1046.008404,4.9235
AEGE17,512.0,512.0,966.432466,5.1205
AEGP17,159.6,159.6,353.426971,1.5963
AEGP19,265.2,265.2,1051.664856,2.6517
AEGPA4,276.7,276.7,1059.119151,2.7671
AEGPA9,315.5,315.5,1017.66889,3.1551
AEGPB3,323.5,323.5,1029.138999,3.2346
AEGPB5,320.8,320.8,985.069132,3.2085
AEGPB7,231.2,231.2,1082.02137,2.3121
AERI11,,,119.485235,
AERI12,,,156.974396,
AESLA8,44.0,44.0,1029.199485,0.4404
AGAU13,469.9,469.9,539.520554,4.6994
AGPI11,,,,
ALGAA2,106.7,106.7,1023.410673,1.0669
ALGTA5,100.3,100.3,1020.445816,1.0029
ALGTA6,110.6,110.6,1080.959787,1.1056
ALPA22,106.6,106.6,1039.167442,1.066
AMBP16,,,,
ANHBA5,51.7,51.7,1040.01609,0.5167
ANHBA6,56.2,56.2,1011.760258,0.5625
ANIM15,195.6,195.6,780.952326,1.9557
ANIM17,211.9,211.9,1031.052854,2.1192
ANIM18,235.6,235.6,1033.453688,2.3564
APFL18,165.1,165.1,1009.547506,1.6505
APPSB2,139.9,139.9,673.01116,1.3994
APRB28,62.1,62.1,318.460073,0.6208
ARML13,216.4,216.4,1050.485151,2.1642
ARML14,284.2,284.2,1037.950679,2.842
ARML15,298.8,298.8,1004.543881,2.9879
ARML25,337.0,337.0,988.678568,3.3704
ARML26,310.7,310.7,997.93565,3.1066
ARTRA1,160.9,160.9,356.481327,1.6091
ARTRA4,234.8,234.8,1085.069859,2.3482
ARTRA5,238.1,238.1,1058.013872,2.3814
ASAI18,133.9,133.9,1032.276184,1.3391
ASAI19,172.8,172.8,1052.331255,1.7275
ASAI22,160.8,160.8,1043.885876,1.6079
ASAI28,176.3,176.3,1029.883231,1.7627
ASAIA0,179.7,179.7,1014.062897,1.7973
ASAIA1,184.9,184.9,1047.993465,1.8488
ASAIA2,185.6,185.6,1014.298692,1.8561
ASAIA3,185.5,185.5,1016.269668,1.8546
AURE13,77.9,77.9,1044.201472,0.7787
AZZA11,142.8,142.8,1054.669803,1.4277
AZZA12,167.1,167.1,990.128292,1.6713
