codigo,cnpj,fundo,tipo,vl_pos,vl_compra,vl_venda
CSAN33,00.346.750/0001-10,NECTON FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Debênture simples,114749.69,0.0,0.0
AURE13,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,838773.81,0.0,0.0
ENEV38,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,568155.53,0.0,0.0
CEAB13,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,260260.1,0.0,0.0
ENGIC4,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,438932.81,0.0,0.0
AMBP16,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,1044892.49,0.0,0.0
VIXL15,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,143663.61,0.0,0.0
AESLA8,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,137875.18,0.0,0.0
ANHBA5,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,7884561.08,0.0,0.0
ASAIA2,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,4324664.55,0.0,0.0
BRMLA1,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,7749363.17,0.0,0.0
BRMLB1,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,19192808.59,0.0,0.0
BSA318,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,42387172.31,0.0,0.0
BSA319,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,29597750.87,0.0,0.0
CCROA7,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,38391292.34,0.0,0.0
CEBD25,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,10699480.93,0.0,0.0
CEEBA3,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,180816.18,0.0,0.0
CEEBA6,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,131815.83,0.0,0.0
CEEBA7,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,1293008.31,0.0,0.0
CEEBB3,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,1177559.06,0.0,0.0
CEEBB8,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,2490991.34,0.0,0.0
CEPEA1,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,61674.92,0.0,0.0
CEPEA3,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,420220.17,0.0,0.0
CEPEB1,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,394964.38,0.0,0.0
CEPEB2,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,1634527.58,0.0,0.0
CGASA3,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,29185271.99,0.0,0.0
CGOS15,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,32699735.9,0.0,0.0
CGOS18,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,8052451.26,0.0,0.0
CHSF12,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,4882835.53,0.0,0.0
CHSF14,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,221351.57,0.0,0.0
CHSF24,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,40246653.65,0.0,0.0
CHTH11,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,21074647.67,0.0,0.0
CMGDA0,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,1810492.85,0.0,0.0
CMGDA1,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,3175043.87,0.0,0.0
CMGDA2,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,381508.95,0.0,0.0
