codigo,cnpj,fundo,tipo,vl_pos,vl_compra,vl_venda
AURE13,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,519879.93,0.0,0.0
ENEV38,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,574703.25,0.0,0.0
CEAB13,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,263356.79,0.0,0.0
ENGIC4,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,444297.65,0.0,0.0
AMBP16,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,1176397.04,0.0,0.0
VIXL15,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,145361.34,0.0,0.0
BSA318,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,5103218.24,0.0,0.0
BSA3A0,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,26636937.26,0.0,0.0
BSA319,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,2251547.95,0.0,0.0
MOTVA8,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,6053861.11,0.0,0.0
CGOSA1,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,34260482.9,0.0,0.0
CMGDA3,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,2111467.54,0.0,0.0
ELET24,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,3184313.13,0.0,0.0
CEPEA3,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,22995207.52,0.0,0.0
PALFA6,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,7138931.95,0.0,0.0
SBSPD2,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,1387706.92,0.0,0.0
SBSPD7,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,23624940.66,0.0,0.0
CIEL17,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,5161522.82,0.0,0.0
CIEL19,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,45775313.95,0.0,0.0
CIEL18,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,9330014.24,0.0,0.0
ECOV17,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,1530117.66,0.0,0.0
ANHBA6,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,670335.38,0.0,0.0
CPLD27,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,9523631.24,0.0,0.0
CPLDA0,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,28480168.8,0.0,0.0
CSAN18,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,2110948.43,0.0,0.0
EBENA7,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,3281145.59,0.0,0.0
EBENB1,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,9288968.31,0.0,0.0
ENMTC3,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,7364979.04,0.0,0.0
ENGIC3,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,1341821.47,0.0,0.0
ENGIC4,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,821147.62,0.0,0.0
YDUQA2,01.165.780/0001-92,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,Debênture simples,6154347.72,0.0,0.0
