ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
LTN@20260911@100000@20240705@20261001@13,7757@13,7513@13,7662@992,860316@0,0075281188281@13,6211@13,9558@13,6131@13,9524@Calculado
LTN@20260911@100000@20250110@20270401@13,3801@13,3584@13,3726@934,507791@0,01253709583277@13,1707@13,658@13,1654@13,6496@Calculado
LTN@20260911@100000@20230707@20270701@13,3565@13,3071@13,3312@905,901875@0,00469553726106@13,0593@13,6959@13,0565@13,6913@Calculado
LTN@20260911@100000@20250704@20271001@13,5662@13,5571@13,5614@875,264324@0,00137840487158@13,238@13,9813@13,2306@13,9724@Calculado
LTN@20260911@100000@20240105@20280101@13,651@13,6399@13,645@847,06518@0@13,271@14,092@13,2636@14,0836@Calculado
LTN@20260911@100000@20260109@20280401@13,7071@13,6934@13,6995@819,798271@0,00062769418509@13,2898@14,1602@13,2821@14,1519@Calculado
LTN@20260911@100000@20240705@20280701@13,727@13,7109@13,7183@794,477096@0,00344886624125@13,2755@14,1878@13,277@14,1884@Calculado
LTN@20260911@100000@20260710@20281001@13,8497@13,8393@13,8448@767,212177@0,00131785128903@13,3861@14,3484@13,3875@14,3492@Calculado
LTN@20260911@100000@20220211@20290101@13,909@13,8969@13,903@743,021048@0@13,425@14,399@13,4373@14,4113@Calculado
LTN@20260911@100000@20250704@20290701@14,026@14,015@14,02@694,937036@0@13,5426@14,4977@13,5576@14,513@Calculado
LTN@20260911@100000@20240105@20300101@14,0793@14,0715@14,0756@650,112845@0,00057771099176@13,619@14,5321@13,6309@14,5443@Calculado
LTN@20260911@100000@20250110@20320101@14,2356@14,2263@14,2313@495,999905@0,00052107625162@13,8417@14,5921@13,8608@14,6114@Calculado
NTN-C@20260911@770100@20000701@20310101@8,0508@7,8113@7,9332@7674,712879@0,14550434206786@7,4995@8,4658@7,5194@8,4858@Calculado
LFT@20260911@210100@20000701@20270301@0,0086@0,0056@0,0066@19854,013617@0,00105384449991@-0,0194@0,0209@-0,0177@0,0236@Calculado
LFT@20260911@210100@20000701@20270901@0,0127@0,0107@0,0118@19852,34583@0,00106760068846@-0,0048@0,0206@-0,0044@0,0229@Calculado
LFT@20260911@210100@20000701@20280301@0,015@0,0132@0,0139@19850,57877@0,00035791698758@0,002@0,0311@0,0023@0,0325@Calculado
LFT@20260911@210100@20000701@20280901@0,0217@0,02@0,0206@19846,568139@0,00043690084687@0,0098@0,0417@0,01@0,0425@Calculado
LFT@20260911@210100@20000701@20290301@0,0315@0,0293@0,0301@19840,016118@0,00036014701165@0,02@0,0471@0,02@0,0478@Calculado
LFT@20260911@210100@20000701@20290901@0,0416@0,04@0,0406@19830,823434@0,00030726495082@0,0292@0,052@0,029@0,0526@Calculado
LFT@20260911@210100@20000701@20300301@0,055@0,0527@0,0536@19818,076774@0,00036461098448@0,0365@0,0649@0,0362@0,0654@Calculado
LFT@20260911@210100@20000701@20300601@0,0631@0,0608@0,0617@19809,559147@0,00033935731906@0,039@0,0733@0,0386@0,0739@Calculado
LFT@20260911@210100@20000701@20300901@0,0679@0,0653@0,0665@19802,709307@0,00037612575025@0,0451@0,0784@0,0448@0,0789@Calculado
LFT@20260911@210100@20000701@20301201@0,0687@0,0663@0,0673@19798,75824@0,00017728104806@0,0543@0,0796@0,0545@0,0796@Calculado
LFT@20260911@210100@20000701@20310301@0,0745@0,0725@0,0733@19790,280322@0,00027894524552@0,0603@0,0845@0,0604@0,0846@Calculado
LFT@20260911@210100@20000701@20310601@0,0785@0,0762@0,0772@19783,112808@0,0002202939173@0,0647@0,0926@0,0649@0,0926@Calculado
LFT@20260911@210100@20000701@20310901@0,0822@0,0794@0,0805@19776,004857@0,00035128148257@0,0686@0,1016@0,0688@0,1016@Calculado
LFT@20260911@210100@20000701@20311201@0,0944@0,0913@0,0928@19759,38655@0,00016035672733@0,0808@0,1019@0,0811@0,1018@Calculado
LFT@20260911@210100@20000701@20320301@0,1002@0,0974@0,0988@19748,526078@0,00022318044269@0,0869@0,108@0,0871@0,108@Calculado
LFT@20260911@210100@20000701@20320601@0,1085@0,1067@0,1074@19734,032213@0,00025565498235@0,09@0,1169@0,0903@0,1169@Calculado
LFT@20260911@210100@20000701@20320901@0,1128@0,1115@0,1121@19722,973196@0,00020073392837@0,0974@0,1217@0,0976@0,1218@Calculado
NTN-B@20260911@760199@20000715@20270515@6,3414@6,305@6,322@4813,372265@0,00733558557853@6,0597@6,8718@5,9461@6,7659@Calculado
NTN-B@20260911@760199@20000715@20280815@7,544@7,5123@7,5343@4629,883737@0,00889140132544@7,422@7,8134@7,3565@7,7477@Calculado
NTN-B@20260911@760199@20000715@20290515@7,5213@7,4937@7,5099@4664,212171@0,01338765988588@7,3657@7,8009@7,2928@7,7278@Calculado
NTN-B@20260911@760199@20000715@20300815@7,6064@7,5773@7,587@4517,085584@0,00383949923558@7,4199@7,8929@7,327@7,7999@Calculado
NTN-B@20260911@760199@20000715@20310515@7,5625@7,5419@7,5551@4556,143103@0,00581396102928@7,3771@7,8537@7,2842@7,7608@Calculado
NTN-B@20260911@760199@20000715@20320815@7,5916@7,5721@7,5816@4418,35646@0,00296564096107@7,3854@7,8582@7,3065@7,7793@Calculado
NTN-B@20260911@760199@20000715@20330515@7,593@7,5682@7,5805@4456,47762@0,0096301980395@7,3766@7,846@7,3071@7,7764@Calculado
NTN-B@20260911@760199@20000715@20350515@7,5642@7,5352@7,5543@4385,92439@0,01176647780731@7,3242@7,7797@7,2903@7,7458@Calculado
NTN-B@20260911@760199@20000715@20370515@7,4835@7,4486@7,4726@4343,684196@0,00631761669382@7,2323@7,6745@7,2185@7,6605@Calculado
NTN-B@20260911@760199@20000715@20400815@7,3881@7,3578@7,3707@4221,758906@0,01534625908715@7,151@7,5775@7,1285@7,5548@Calculado
NTN-B@20260911@760199@20000715@20450515@7,373@7,3534@7,3659@4205,273313@0,00702249785902@7,1538@7,5675@7,1337@7,5471@Calculado
NTN-B@20260911@760199@20000715@20500815@7,3542@7,335@7,346@4074,362761@0,00489897948455@7,1534@7,5598@7,1196@7,5257@Calculado
NTN-B@20260911@760199@20000715@20550515@7,2837@7,2503@7,2692@4138,366208@0,00175119006678@7,0907@7,4936@7,0458@7,4482@Calculado
NTN-B@20260911@760199@20000715@20600815@7,2819@7,2533@7,268@4035,461301@0,0036436358037@7,09@7,4909@7,0465@7,4467@Calculado
NTN-F@20260911@950199@20160115@20270101@13,4183@13,3739@13,3866@1009,813605@0,00233497064221@13,2395@13,5254@13,2372@13,5202@Calculado
NTN-F@20260911@950199@20180105@20290101@13,7053@13,6798@13,6982@953,66111@0,00807165932135@13,2325@14,1899@13,2425@14,1999@Calculado
NTN-F@20260911@950199@20200110@20310101@14,1618@14,1508@14,1565@897,606861@0,0008289004886@13,7285@14,5529@13,7508@14,5756@Calculado
NTN-F@20260911@950199@20220107@20330101@14,2678@14,2584@14,2639@856,083976@0,00056802029013@13,8896@14,6142@13,9056@14,6302@Calculado
NTN-F@20260911@950199@20240105@20350101@14,2956@14,2757@14,2861@826,565791@0,00286674076261@13,9225@14,62@13,9396@14,6371@Calculado
NTN-F@20260911@950199@20260109@20370101@14,2828@14,2724@14,278@804,444508@0@13,9242@14,598@13,9443@14,6182@Calculado
