ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
LTN@20260323@100000@20240105@20260401@14,7195@14,6871@14,6943@996,198905@0,00236143620282@14,5377@15,013@14,532@15,0169@Calculado
LTN@20260323@100000@20230106@20260701@14,1743@14,1406@14,1646@964,885184@0,03746981865355@14,1348@14,5176@14,0177@14,3978@Calculado
LTN@20260323@100000@20240705@20261001@13,9809@13,9298@13,9488@933,404415@0,01724342064528@13,9446@14,416@13,7603@14,2327@Calculado
LTN@20260323@100000@20250110@20270401@13,9149@13,8998@13,9052@876,563356@0,00301137525725@13,8424@14,6455@13,535@14,3359@Calculado
LTN@20260323@100000@20230707@20270701@13,8711@13,8567@13,8649@848,870332@0,00008660254038@13,7735@14,6689@13,4445@14,3388@Calculado
LTN@20260323@100000@20250704@20271001@13,88@13,8663@13,8733@820,819486@0,00077963666538@13,7535@14,7068@13,423@14,3756@Calculado
LTN@20260323@100000@20240105@20280101@13,7816@13,7666@13,7738@795,818606@0,00116024844753@13,6471@14,6263@13,308@14,287@Calculado
LTN@20260323@100000@20260109@20280401@13,7554@13,7418@13,7482@770,905108@0,00041403933388@13,6083@14,5952@13,2759@14,2628@Calculado
LTN@20260323@100000@20240705@20280701@13,7386@13,7234@13,7304@747,50229@0,00073562412277@13,5991@14,6142@13,2479@14,2624@Calculado
LTN@20260323@100000@20220211@20290101@13,7891@13,775@13,7819@700,771188@0,00009972487152@13,646@14,6861@13,2909@14,3309@Calculado
LTN@20260323@100000@20250704@20290701@13,8495@13,8365@13,8424@656,500844@0,00008660254038@13,7058@14,7427@13,3579@14,3949@Calculado
LTN@20260323@100000@20240105@20300101@13,8794@13,8663@13,8729@614,99467@0,00064395123263@13,7272@14,7483@13,4039@14,4251@Calculado
LTN@20260323@100000@20250110@20320101@13,9869@13,9751@13,9808@471,703138@0,00018639629825@13,7728@14,7779@13,5197@14,5249@Calculado
NTN-C@20260323@770100@20000701@20310101@8,1121@7,8936@8,0062@7595,372833@0,34021493874527@7,1486@8,2752@7,5763@8,581@Calculado
