ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
NTN-B@20260316@760199@20000715@20450515@7,2843@7,2568@7,271@4152,813632@0,0025@7,1099@7,7061@7,1099@7,4774@Calculado
NTN-B@20260316@760199@20000715@20500815@7,195@7,156@7,1743@4066,121226@0,00637398716739@7,0179@7,6328@7,018@7,381@Calculado
NTN-B@20260316@760199@20000715@20550515@7,174@7,132@7,1522@4108,568726@0,00443540420368@6,9968@7,6008@6,9968@7,3588@Calculado
NTN-B@20260316@760199@20000715@20600815@7,1749@7,1271@7,1522@4010,128327@0,00808000926361@6,9972@7,6116@6,9972@7,3591@Calculado
NTN-F@20260316@950199@20160115@20270101@14,0046@13,9469@13,9816@992,336119@0,01748281719432@13,7006@14,5889@13,7047@14,3529@Calculado
NTN-F@20260316@950199@20180105@20290101@13,6404@13,6058@13,6235@943,816401@0,00078407443524@13,1428@14,4803@13,1426@14,1638@Calculado
NTN-F@20260316@950199@20200110@20310101@13,9162@13,9046@13,9105@895,200293@0@13,4722@14,8218@13,4721@14,4516@Calculado
NTN-F@20260316@950199@20220107@20330101@13,9367@13,9102@13,924@860,909627@0,00453018471147@13,4789@14,8129@13,4787@14,4544@Calculado
NTN-F@20260316@950199@20240105@20350101@13,9311@13,9112@13,9202@835,817835@0,00327830621816@13,4765@14,7975@13,4764@14,4441@Calculado
NTN-F@20260316@950199@20260109@20370101@13,9372@13,9251@13,93@815,522734@0,00177458915245@13,4885@14,8209@13,4885@14,4526@Calculado
