ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
LTN@20260305@100000@20240105@20260401@14,6063@14,5922@14,5972@989,77953@0,00439424757609@14,4917@14,8336@14,5173@14,8667@Calculado
LTN@20260305@100000@20230106@20260701@14,1595@14,1446@14,1529@958,848901@0,00181936074488@14,0474@14,3499@14,0881@14,3921@Calculado
LTN@20260305@100000@20240705@20261001@13,7646@13,7531@13,7589@928,509149@0,00112331209377@13,5108@13,9897@13,5878@14,0629@Calculado
LTN@20260305@100000@20250110@20270401@13,2687@13,2551@13,2616@876,391384@0,00165868677574@12,7333@13,4985@12,8803@13,6449@Calculado
LTN@20260305@100000@20230707@20270701@13,0949@13,0775@13,0864@851,251395@0,00257419890257@12,5006@13,3216@12,6596@13,4795@Calculado
LTN@20260305@100000@20250704@20271001@13,0612@13,0498@13,0545@825,036959@0,00065392229661@12,4128@13,3022@12,6003@13,4887@Calculado
LTN@20260305@100000@20240105@20280101@12,9872@12,9735@12,9807@801,063342@0,00031764354236@12,3161@13,2612@12,5127@13,4571@Calculado
LTN@20260305@100000@20260109@20280401@13,0256@13,0125@13,019@776,446371@0@12,3303@13,3149@12,5454@13,5292@Calculado
LTN@20260305@100000@20240705@20280701@13,0395@13,026@13,0326@753,57199@0,00236382043523@12,3296@13,351@12,5478@13,5687@Calculado
LTN@20260305@100000@20220211@20290101@13,163@13,1505@13,157@707,305119@0@12,4266@13,4671@12,6654@13,706@Calculado
LTN@20260305@100000@20250704@20290701@13,3111@13,2998@13,3052@662,70457@0,00117473400819@12,5703@13,6062@12,8212@13,8572@Calculado
LTN@20260305@100000@20240105@20300101@13,4137@13,4013@13,4068@620,776361@0,0010049712981@12,6854@13,7046@12,9391@13,9583@Calculado
LTN@20260305@100000@20250110@20320101@13,7418@13,7293@13,7355@474,656755@0@13,0165@14,022@13,274@14,2794@Calculado
NTN-C@20260305@770100@20000701@20310101@8,0352@7,9445@7,9548@7555,559827@0,03607493743723@7,4332@8,3803@7,3107@8,2643@Calculado
LFT@20260305@210100@20000701@20260901@-0,0212@-0,048@-0,0363@18522,797017@0,0119964455515@-0,0876@0,0045@-0,0776@0,0157@Calculado
LFT@20260305@210100@20000701@20270301@0,0067@0,0045@0,0056@18518,481973@0,00036410646795@-0,0511@0,0325@-0,0469@0,0346@Calculado
LFT@20260305@210100@20000701@20270901@0,0172@0,0152@0,0164@18514,981787@0,00006215810486@-0,0101@0,0482@-0,0129@0,0496@Calculado
LFT@20260305@210100@20000701@20280301@0,0333@0,0308@0,0317@18507,888819@0,00039675973838@0,0071@0,0723@0,0042@0,0713@Calculado
LFT@20260305@210100@20000701@20280901@0,0459@0,0438@0,0449@18498,851302@0,00030441199057@0,038@0,0716@0,0358@0,07@Calculado
LFT@20260305@210100@20000701@20290301@0,059@0,057@0,0581@18487,684044@0,00016179140892@0,0492@0,0787@0,0476@0,0777@Calculado
LFT@20260305@210100@20000701@20290901@0,075@0,0733@0,0742@18471,849871@0,00027700545121@0,0638@0,0852@0,0621@0,0857@Calculado
LFT@20260305@210100@20000701@20300301@0,0859@0,0829@0,0847@18457,552816@0,00037030280852@0,0703@0,0951@0,0696@0,0959@Calculado
LFT@20260305@210100@20000701@20300601@0,0925@0,0905@0,0913@18448,607897@0,00020356301236@0,0698@0,1021@0,0705@0,1019@Calculado
LFT@20260305@210100@20000701@20300901@0,0978@0,0946@0,0964@18440,144486@0,00028382309631@0,0721@0,1068@0,0731@0,1066@Calculado
LFT@20260305@210100@20000701@20301201@0,099@0,0958@0,0974@18434,829389@0,00006602242043@0,0787@0,1078@0,0795@0,1077@Calculado
LFT@20260305@210100@20000701@20310301@0,1005@0,0975@0,0989@18429,125383@0,00008920947259@0,0838@0,1093@0,0844@0,1092@Calculado
LFT@20260305@210100@20000701@20310601@0,1021@0,0991@0,1012@18422,439843@0,000199999975@0,0878@0,1115@0,0881@0,1114@Calculado
LFT@20260305@210100@20000701@20310901@0,1032@0,1001@0,102@18416,902512@0,00003015095355@0,0899@0,1157@0,0897@0,1154@Calculado
LFT@20260305@210100@20000701@20311201@0,1042@0,1015@0,103@18411,087389@0,000121573887@0,0904@0,1204@0,0902@0,1192@Calculado
