ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
LTN@20260612@100000@20230106@20260701@14,3812@14,3519@14,3671@993,098676@0,00641938699644@14,2321@14,5625@14,222@14,5595@Calculado
LTN@20260612@100000@20240705@20261001@14,0503@14,0003@14,0336@960,167451@0,01028460824047@13,8579@14,1778@13,8811@14,1986@Calculado
LTN@20260612@100000@20250110@20270401@14,2666@14,2392@14,2536@899,64571@0,0060604006361@13,9472@14,6434@13,9405@14,635@Calculado
LTN@20260612@100000@20230707@20270701@14,4205@14,4072@14,4128@868,906252@0,00177124014747@14,0596@14,8825@14,0279@14,8486@Calculado
LTN@20260612@100000@20250704@20271001@14,5023@14,4891@14,4943@838,470265@0,00139989795342@14,1036@15,0224@14,0548@14,9725@Calculado
LTN@20260612@100000@20240105@20280101@14,4442@14,4307@14,4372@811,19981@0,00189061147516@14,0165@14,9873@13,9715@14,9416@Calculado
LTN@20260612@100000@20260109@20280401@14,4467@14,433@14,4393@784,280968@0,00169767347567@14,0163@15,011@13,9583@14,9527@Calculado
LTN@20260612@100000@20240705@20280701@14,4428@14,4303@14,4369@759,121644@0,0001154700394@14,0227@15,0254@13,9485@14,9512@Calculado
LTN@20260612@100000@20220211@20290101@14,4922@14,4803@14,4865@709,603806@0@14,1054@15,1406@13,997@15,032@Calculado
LTN@20260612@100000@20250704@20290701@14,5045@14,4925@14,4981@663,700086@0,00100750857068@14,1293@15,1697@14,0095@15,0498@Calculado
LTN@20260612@100000@20240105@20300101@14,4787@14,4681@14,4732@621,067649@0,00067964090518@14,1276@15,1568@13,9968@15,0261@Calculado
LTN@20260612@100000@20250110@20320101@14,4445@14,4323@14,4379@474,756742@0,0008444890467@14,0941@15,0974@13,9776@14,9808@Calculado
NTN-C@20260612@770100@20000701@20310101@8,3334@8,0349@8,0971@8004,811984@0,07245817874236@7,5421@8,8356@7,5849@8,6155@Calculado
