ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
LTN@20260915@100000@20240705@20261001@13,7529@13,7244@13,7406@993,887792@0,00504404861793@13,5987@13,9419@13,5865@13,9336@Calculado
LTN@20260915@100000@20250110@20270401@13,3881@13,3541@13,3687@935,456236@0,00595527447814@13,1566@13,6378@13,1642@13,6423@Calculado
LTN@20260915@100000@20230707@20270701@13,3787@13,343@13,3584@906,631972@0,00599240839146@13,0605@13,6935@13,0851@13,7163@Calculado
LTN@20260915@100000@20250704@20271001@13,5912@13,5786@13,5852@875,957318@0,00211000124408@13,2444@13,9847@13,256@13,9948@Calculado
LTN@20260915@100000@20240105@20280101@13,6851@13,6736@13,6803@847,585962@0,0005865527342@13,2711@14,0901@13,3@14,118@Calculado
LTN@20260915@100000@20260109@20280401@13,7509@13,7409@13,7449@820,129774@0,00154272485881@13,2963@14,1655@13,3282@14,1968@Calculado
LTN@20260915@100000@20240705@20280701@13,7823@13,7681@13,7747@794,585797@0,0010699092812@13,2958@14,2063@13,3338@14,2434@Calculado
LTN@20260915@100000@20260710@20281001@13,9147@13,9036@13,9085@767,128066@0,00123467070509@13,411@14,3721@13,4514@14,4118@Calculado
LTN@20260915@100000@20220211@20290101@13,9876@13,9766@13,9821@742,615952@0,00094240577248@13,4605@14,4344@13,5164@14,4904@Calculado
LTN@20260915@100000@20250704@20290701@14,1296@14,1191@14,1248@693,895586@0,00129653158465@13,5904@14,5461@13,662@14,618@Calculado
LTN@20260915@100000@20240105@20300101@14,2102@14,1998@14,205@648,390493@0,0031163218672@13,679@14,5928@13,7598@14,674@Calculado
LTN@20260915@100000@20250110@20320101@14,407@14,397@14,401@492,660618@0,00084801108483@13,9319@14,6828@14,03@14,7811@Calculado
NTN-C@20260915@770100@20000701@20310101@8,074@7,8721@7,9437@7683,697833@0,04925229831064@7,4161@8,3824@7,3678@8,3339@Calculado
LFT@20260915@210100@20000701@20270301@0,01@0,0063@0,0073@19874,472457@0,00054732113973@-0,0171@0,0241@-0,0173@0,024@Calculado
LFT@20260915@210100@20000701@20270901@0,0143@0,0125@0,0134@19872,564445@0,00034942127869@-0,0044@0,0228@-0,0047@0,0229@Calculado
LFT@20260915@210100@20000701@20280301@0,016@0,013@0,0141@19871,053935@0,00067339132011@0,0023@0,0329@0,0026@0,0331@Calculado
LFT@20260915@210100@20000701@20280901@0,022@0,0196@0,0208@19867,039159@0,00017099149102@0,0101@0,0426@0,0103@0,0431@Calculado
LFT@20260915@210100@20000701@20290301@0,032@0,0299@0,0305@19860,380991@0,00054986628375@0,02@0,0479@0,0204@0,0483@Calculado
