ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
LTN@20260326@100000@20240105@20260401@14,7359@14,6962@14,7172@997,823011@0,00482952292261@14,5641@15,0433@14,5653@15,0547@Calculado
LTN@20260326@100000@20230106@20260701@14,2559@14,1516@14,1887@966,35543@0,0291882866736@13,9148@14,2894@14,0419@14,4137@Calculado
LTN@20260326@100000@20240705@20261001@14,1412@14,0285@14,0807@934,298779@0,00261116483777@13,7046@14,1719@13,8928@14,3574@Calculado
LTN@20260326@100000@20250110@20270401@14,1505@14,1336@14,1443@876,084044@0,00315642305941@13,4886@14,2849@13,7777@14,5718@Calculado
LTN@20260326@100000@20230707@20270701@14,1323@14,1208@14,1277@847,737058@0,00201764276818@13,4195@14,3114@13,7086@14,5994@Calculado
LTN@20260326@100000@20250704@20271001@14,1688@14,1568@14,1623@818,953806@0,00100834750954@13,4055@14,3568@13,7126@14,6632@Calculado
LTN@20260326@100000@20240105@20280101@14,1002@14,0871@14,0946@793,106679@0,00195919776184@13,3242@14,3027@13,629@14,6072@Calculado
LTN@20260326@100000@20260109@20280401@14,0752@14,058@14,0652@767,785791@0,00149085121659@13,2931@14,28@13,5928@14,5797@Calculado
LTN@20260326@100000@20240705@20280701@14,0827@14,0675@14,0751@743,56779@0,00184510481003@13,2974@14,3109@13,5929@14,6058@Calculado
LTN@20260326@100000@20220211@20290101@14,132@14,1206@14,126@696,06179@0@13,3592@14,3991@13,6349@14,6748@Calculado
LTN@20260326@100000@20250704@20290701@14,1875@14,1749@14,1809@651,231547@0,00021380895678@13,444@14,4812@13,6961@14,7333@Calculado
LTN@20260326@100000@20240105@20300101@14,2096@14,1967@14,203@609,33163@0@13,5047@14,5263@13,7336@14,7553@Calculado
LTN@20260326@100000@20250110@20320101@14,3145@14,3019@14,308@464,741776@0@13,6574@14,6625@13,847@14,852@Calculado
NTN-C@20260326@770100@20000701@20310101@8,3036@8,169@8,1778@7562,307146@0,18694538499169@7,5925@8,5975@7,5859@8,5911@Calculado
LFT@20260326@210100@20000701@20260901@-0,0364@-0,0684@-0,051@18676,543556@0,01961877268893@-0,0894@0,026@-0,1069@0,0135@Calculado
LFT@20260326@210100@20000701@20270301@0,0016@-0,0009@0,0006@18672,323586@0,00096149732709@-0,0622@0,041@-0,0711@0,0406@Calculado
LFT@20260326@210100@20000701@20270901@0,0094@0,0068@0,0085@18670,157583@0,00045693636318@-0,0365@0,0519@-0,0362@0,0522@Calculado
LFT@20260326@210100@20000701@20280301@0,0163@0,0128@0,0143@18667,300701@0,00021669870789@-0,0239@0,0692@-0,0244@0,0729@Calculado
