ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
LTN@20260625@100000@20230106@20260701@14,3036@14,2611@14,2796@997,883546@0,02705551523719@14,1002@14,4973@14,1148@14,5196@Calculado
LTN@20260625@100000@20240705@20261001@13,8526@13,8069@13,839@965,132562@0,03231200204537@13,7114@13,9874@13,6888@13,9638@Calculado
LTN@20260625@100000@20250110@20270401@13,9858@13,9514@13,9729@905,624148@0,01088803785859@13,6844@14,3386@13,6729@14,3245@Calculado
LTN@20260625@100000@20230707@20270701@14,0923@14,0326@14,046@875,925008@0@13,7283@14,5093@13,6715@14,451@Calculado
LTN@20260625@100000@20250704@20271001@14,1725@14,1565@14,1654@845,607109@0,00378325256757@13,8036@14,676@13,7454@14,6015@Calculado
LTN@20260625@100000@20240105@20280101@14,1847@14,126@14,1556@818,166162@0,00049302830548@13,7654@14,6808@13,7115@14,6071@Calculado
LTN@20260625@100000@20260109@20280401@14,2719@14,2426@14,2504@790,370272@0,00376593835053@13,788@14,7356@13,7951@14,7171@Calculado
LTN@20260625@100000@20240705@20280701@14,2672@14,2375@14,2498@765,296862@0,00461241929577@13,8172@14,8065@13,7918@14,7502@Calculado
LTN@20260625@100000@20220211@20290101@14,3783@14,3653@14,3716@714,832859@0,00035021000842@13,9203@14,9132@13,903@14,875@Calculado
LTN@20260625@100000@20250704@20290701@14,4586@14,4449@14,4497@667,761259@0,00231357549477@13,9708@14,9434@13,9947@14,9331@Calculado
LTN@20260625@100000@20240105@20300101@14,4759@14,4636@14,4702@624,130166@0,00101530766766@13,9781@14,9268@14,0349@14,9413@Calculado
